protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles 
FKBP5_HUMAN_Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens GN=FKBP5 PE=1 SV=2,0.5229,0.4546,0.2172,0.3057,0.2051,0.3648,0.2758,0.2598,0.1687,0.2627,0.168,0.1978,12
LC7L2_HUMAN_Q9Y383,Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens GN=LUC7L2 PE=1 SV=2,1.8004,1.3576,1.4771,0.881,1.159,1.1219,0.8876,1.3504,0.8491,1.1295,0.9207,1.0958,12
RU1C_HUMAN_P09234,U1 small nuclear ribonucleoprotein C OS=Homo sapiens GN=SNRPC PE=1 SV=1,0.2708,0.3137,0.122,0.2141,0.2409,0.2649,0.2763,0.3105,0.2371,0.3062,0.2914,0.2342,12
PUR2_HUMAN_P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1,2.4364,2.2596,2.8561,2.3486,2.5349,2.5876,2.8414,2.9311,2.3481,2.4782,2.5093,2.0955,12
A0A024R4E5_HUMAN_A0A024R4E5,High density lipoprotein binding protein (Vigilin)_ isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1,3.2077,2.7376,5.4662,1.6231,1.7023,3.9075,1.9769,2.5346,3.4382,2.4714,2.3772,2.2167,12
SPG20_HUMAN_Q8N0X7,Spartin OS=Homo sapiens GN=SPG20 PE=1 SV=1,0.3538,0.406,0.3245,0.3919,0.3347,0.1871,0.22,0.3691,0.4166,0.1909,0.268,0.3588,12
CNDP2_HUMAN_Q96KP4,Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2,1.0453,1.1054,0.9942,0.93,1.3494,1.2374,1.2034,0.9579,0.6754,1.1399,1.1998,1.0323,12
RPN1_HUMAN_P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1,2.3781,1.9997,2.2318,1.6473,1.8135,1.7365,1.8958,2.211,1.5137,1.8257,1.8063,1.7893,12
PDIP3_HUMAN_Q9BY77,Polymerase delta-interacting protein 3 OS=Homo sapiens GN=POLDIP3 PE=1 SV=2,0.1601,0.1489,0.1735,0.2563,0.183,0.1104,0.1366,0.1887,0.0783,0.3128,0.1327,0.1251,12
CATB_HUMAN_P07858,Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3,1.1912,0.9237,1.0818,0.6674,0.8228,0.6653,1.2243,1.1408,0.8504,0.7784,0.7266,0.6966,12
LRC59_HUMAN_Q96AG4,Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1,0.8282,1.1502,0.9465,1.1601,1.2191,1.1038,1.7501,1.0452,1.0402,1.254,1.1886,1.0861,12
PDLI4_HUMAN_P50479,PDZ and LIM domain protein 4 OS=Homo sapiens GN=PDLIM4 PE=1 SV=2,0.3679,0.3924,0.4537,0.5707,0.6114,0.6241,0.4714,0.6955,0.364,0.3671,0.3688,0.3123,12
LEG1_HUMAN_P09382,Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2,1.7017,1.5642,1.1984,1.5342,1.5912,1.649,1.9331,1.2098,1.0917,1.4665,1.4292,1.1816,12
ARF3_HUMAN_P61204,ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2,0.5217,0.7338,0.2108,0.493,0.3944,0.4858,0.4597,0.4888,0.3459,0.4267,0.3878,0.2747,12
PP1A_HUMAN_P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1,0.1672,0.3142,0.2004,0.349,0.5744,0.5702,0.6396,0.3763,0.275,0.516,0.5527,0.3911,12
ASNS_HUMAN_P08243,Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens GN=ASNS PE=1 SV=4,0.7201,0.4884,0.511,0.5842,0.5726,0.6403,0.6042,0.7927,0.4993,0.5671,0.5777,0.5501,12
PSME1_HUMAN_Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1,0.522,0.5646,0.4185,0.5068,0.5023,0.4625,0.5325,0.5371,0.4587,0.4382,0.4188,0.338,12
PFD2_HUMAN_Q9UHV9,Prefoldin subunit 2 OS=Homo sapiens GN=PFDN2 PE=1 SV=1,0.3307,0.3754,0.3428,0.2833,0.294,0.3076,0.2916,0.3298,0.2493,0.297,0.2849,0.2558,12
1433S_HUMAN_P31947,14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1,0.2359,0.0655,0.1296,0.0621,0.4222,0.0889,0.1106,0.1218,0.0903,0.197,0.0626,0.0964,12
FACE1_HUMAN_O75844,CAAX prenyl protease 1 homolog OS=Homo sapiens GN=ZMPSTE24 PE=1 SV=2,0.2428,0.2038,0.1753,0.3114,0.2448,0.2158,0.2491,0.2323,0.1529,0.2543,0.2014,0.2055,12
FLII_HUMAN_Q13045,Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2,1.0892,1.0817,1.0178,0.8859,1.1926,1.0355,0.977,0.7804,0.6146,0.8842,0.9609,0.9223,12
LMNB2_HUMAN_Q03252,Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=4,2.8285,2.3003,3.4825,1.2306,2.2404,2.1688,2.0056,1.9615,1.3577,2.0509,2.1525,1.951,12
DENR_HUMAN_O43583,Density-regulated protein OS=Homo sapiens GN=DENR PE=1 SV=2,0.1824,0.1117,0.1918,0.3004,0.3484,0.3425,0.3757,0.1277,0.0948,0.2307,0.2022,0.208,12
LMNB1_HUMAN_P20700,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,4.2,4.8055,3.9372,2.9956,3.1119,3.0994,3.0106,2.8911,1.8066,3.1216,3.1225,3.1862,12
PLSI_HUMAN_Q14651,Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2,0.0776,0.0768,0.1877,0.1003,0.1496,0.3122,0.073,0.0506,0.0452,0.191,0.058,0.0777,12
MDHM_HUMAN_P40926,Malate dehydrogenase_ mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3,1.9738,1.7248,1.8567,1.0814,1.169,1.2324,1.4711,1.5592,1.3471,1.4353,1.3484,1.4601,12
RL1D1_HUMAN_O76021,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3,0.3847,0.8219,0.6226,0.4384,0.7747,0.7104,0.5297,0.5691,0.4991,0.4284,0.4501,0.4071,12
HXK1_HUMAN_P19367,Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3,1.8018,1.5988,10.0136,1.2917,3.8377,1.5792,1.5164,1.5273,1.2088,1.1298,1.0821,1.1493,12
NU205_HUMAN_Q92621,Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3,4.2066,2.8473,1.6114,1.8694,2.6009,2.6092,5.1194,3.3363,2.8414,3.1814,0.5088,0.4649,12
NMT1_HUMAN_P30419,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2,0.7909,0.6257,0.8105,0.4634,0.587,0.3061,0.3017,0.7826,0.4841,0.5959,0.5479,0.2804,12
NUP93_HUMAN_Q8N1F7,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,0.725,0.6984,0.8339,0.7173,0.816,0.7532,1.2982,0.836,0.53,0.7991,0.759,4.8752,12
NUP98_HUMAN_P52948,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens GN=NUP98 PE=1 SV=4,2.1094,1.1519,3.5267,1.8825,1.5368,1.211,2.0501,0.9865,1.6037,1.4547,1.4541,1.8037,12
MX1_HUMAN_P20591,Interferon-induced GTP-binding protein Mx1 OS=Homo sapiens GN=MX1 PE=1 SV=4,4.407,6.1364,4.2894,3.2984,5.1931,4.9286,4.172,2.2661,3.4965,4.8438,5.0178,3.7722,12
FA98B_HUMAN_Q52LJ0,Protein FAM98B OS=Homo sapiens GN=FAM98B PE=1 SV=1,0.1827,0.1981,0.1984,0.1475,0.1553,0.1647,0.2255,0.2165,0.1458,0.1869,0.1815,0.1894,12
FUBP3_HUMAN_Q96I24,Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2,0.2774,0.8728,0.202,0.2663,0.2668,0.6496,1.2533,0.2943,0.2595,0.2136,0.1569,0.7455,12
APOL2_HUMAN_Q9BQE5,Apolipoprotein L2 OS=Homo sapiens GN=APOL2 PE=1 SV=1,0.3819,0.258,0.4288,0.1747,0.1839,0.1645,0.1813,0.2139,0.2039,0.1643,0.2364,0.1855,12
EF1A1_HUMAN_P68104,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,10.3925,9.3585,9.7725,11.2376,8.576,8.232,8.8833,9.4928,7.4094,7.7794,8.1978,6.8997,12
ATPA_HUMAN_P25705,ATP synthase subunit alpha_ mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1,5.92,5.2358,5.2493,4.6228,4.6019,5.078,5.7679,5.3514,3.6218,5.5486,5.353,5.2292,12
TRA2B_HUMAN_P62995,Transformer-2 protein homolog beta OS=Homo sapiens GN=TRA2B PE=1 SV=1,0.2044,0.1932,0.2594,0.1912,0.1439,0.1674,0.2166,0.2175,0.1678,0.1584,0.1769,0.1421,12
ARF4_HUMAN_P18085,ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3,0.7186,0.5677,0.8303,0.5411,0.6338,0.6114,0.8851,0.8258,0.6501,0.6588,0.739,0.677,12
DYL2_HUMAN_Q96FJ2,Dynein light chain 2_ cytoplasmic OS=Homo sapiens GN=DYNLL2 PE=1 SV=1,0.1954,0.1082,0.2058,0.0709,0.0782,0.1204,0.0935,0.1222,0.0591,0.0763,0.077,0.0911,12
6PGL_HUMAN_O95336,6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2,0.3532,0.3809,0.3725,0.3452,0.4048,0.376,0.4006,0.359,0.2941,0.3763,0.3511,0.3248,12
TNIK_HUMAN_Q9UKE5,TRAF2 and NCK-interacting protein kinase OS=Homo sapiens GN=TNIK PE=1 SV=1,0.1767,0.4326,0.3868,0.2201,0.1279,0.4006,0.4043,0.736,0.2815,0.2651,0.0496,0.3873,12
PSMD5_HUMAN_Q16401,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 PE=1 SV=3,0.3996,0.401,0.1531,0.4412,0.4859,0.4641,0.5633,0.3209,0.2694,0.4447,0.4403,0.3113,12
S10AB_HUMAN_P31949,Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2,1.1638,0.9748,1.2296,0.7726,0.8682,0.9306,0.8803,0.8659,0.766,0.4948,0.5468,0.3837,12
LAMC1_HUMAN_P11047,Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3,0.2551,0.5358,1.2434,0.8321,0.977,0.6643,0.8552,0.4633,0.3584,0.9563,0.9543,0.9342,12
QCR1_HUMAN_P31930,Cytochrome b-c1 complex subunit 1_ mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3,1.2652,1.121,1.0615,0.9369,0.9342,0.877,0.9805,0.8807,0.6268,1.029,0.9462,0.9412,12
GSHB_HUMAN_P48637,Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1,0.7842,0.7702,1.01,0.6324,0.5329,0.5928,0.7008,0.8122,0.8992,0.7587,0.9483,0.6978,12
HNRPK_HUMAN_P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,5.23,5.3421,5.0803,4.6571,4.843,4.8969,5.8929,5.1762,3.7332,5.3324,5.2126,5.2178,12
P4HA1_HUMAN_P13674,Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens GN=P4HA1 PE=1 SV=2,0.4568,0.6936,0.6086,0.47,0.4535,0.5001,0.5742,0.7436,0.4404,0.5188,0.5379,0.617,12
TRAP1_HUMAN_Q12931,Heat shock protein 75 kDa_ mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3,1.5305,1.6444,1.3348,1.3138,1.5678,1.3094,1.3503,1.4294,1.1609,1.6663,1.0567,2.1162,12
SQSTM_HUMAN_Q13501,Sequestosome-1 OS=Homo sapiens GN=SQSTM1 PE=1 SV=1,0.1885,0.1634,0.2781,0.3339,0.2659,0.1941,0.2034,0.186,0.123,0.1597,0.2219,0.1967,12
MTA2_HUMAN_O94776,Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1,0.4259,0.4418,0.3586,0.3407,0.3143,0.3941,0.4967,0.5448,0.3765,0.4257,0.3116,0.573,12
FKBP8_HUMAN_Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens GN=FKBP8 PE=1 SV=2,0.3623,0.2086,0.2104,0.168,0.1495,0.1171,0.1708,0.2118,0.101,0.1859,0.1684,0.202,12
RADI_HUMAN_P35241,Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,1.2851,1.5802,1.155,1.7084,1.4195,1.4277,1.8088,1.1711,1.0772,1.8456,1.5577,1.766,12
VDAC3_HUMAN_Q9Y277,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1,0.1625,0.1922,0.1456,0.2249,0.2198,0.2045,0.231,0.136,0.1552,0.1958,0.1184,0.1625,12
HNRH3_HUMAN_P31942,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2,1.0697,0.9964,1.0725,0.8893,0.9351,0.9036,1.0744,1.0855,0.7805,2.0471,1.0287,0.8442,12
PPM1A_HUMAN_P35813,Protein phosphatase 1A OS=Homo sapiens GN=PPM1A PE=1 SV=1,0.2838,0.3101,0.3557,0.1987,0.1436,0.2208,0.2464,0.3153,0.2043,0.2331,0.2508,0.2326,12
GBG12_HUMAN_Q9UBI6,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3,0.1393,0.1198,0.1518,0.0976,0.1083,0.1166,0.1125,0.0786,0.0791,0.1175,0.156,0.1189,12
TCPH_HUMAN_Q99832,T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2,3.1258,2.779,3.0078,1.9265,2.4382,2.4159,2.4666,2.5422,1.7619,2.5033,3.0593,2.0115,12
SRSF1_HUMAN_Q07955,Serine/arginine-rich splicing factor 1 OS=Homo sapiens GN=SRSF1 PE=1 SV=2,0.8454,0.6255,0.7488,0.5847,0.632,0.6311,0.7354,0.7738,0.5881,0.6653,0.5925,0.6118,12
RS30_HUMAN_P62861,40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1,0.173,0.1335,0.0748,0.1778,0.1995,0.2168,0.2344,0.2082,0.1927,0.1768,0.1646,0.1392,12
SRC8_HUMAN_Q14247,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2,1.4722,1.2878,1.6323,1.0718,1.2494,1.1416,1.3474,1.6782,1.0676,1.0325,1.0382,0.8886,12
CTNA2_HUMAN_P26232,Catenin alpha-2 OS=Homo sapiens GN=CTNNA2 PE=1 SV=5,1.6933,0.3839,1.0258,1.1243,1.2758,1.0535,0.3227,1.3018,0.9426,1.4939,1.4911,1.1735,12
E2QRB3_HUMAN_E2QRB3,Pyrroline-5-carboxylate reductase 1_ isoform CRA_c OS=Homo sapiens GN=PYCR1 PE=1 SV=2,0.1538,0.1404,0.1649,0.1496,0.2052,0.134,0.1762,0.1324,0.101,0.1639,0.1612,0.0925,12
PNPH_HUMAN_P00491,Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2,0.2245,0.2295,0.2753,0.4236,0.4003,0.4368,0.7144,0.6806,0.5638,0.2849,0.2718,0.2713,12
PPIB_HUMAN_P23284,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,1.2093,1.1157,0.9374,0.8281,1.0548,1.0548,1.022,1.0201,0.9494,1.0011,1.2813,0.9951,12
H90B2_HUMAN_Q58FF8,Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens GN=HSP90AB2P PE=1 SV=2,0.0116,0.1974,0.3076,0.0035,0.0451,0.0489,0.2386,0.0141,0.2843,0.0346,0.0267,0.1694,12
SYFA_HUMAN_Q9Y285,Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3,0.661,0.6168,0.7265,0.4005,0.6528,0.609,0.4212,0.4831,0.3297,0.4467,0.4264,0.4044,12
NOP58_HUMAN_Q9Y2X3,Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1,1.0901,1.1115,1.4244,0.9514,1.3433,1.0711,0.7937,0.9652,0.8191,0.949,0.8849,1.0976,12
DNJC9_HUMAN_Q8WXX5,DnaJ homolog subfamily C member 9 OS=Homo sapiens GN=DNAJC9 PE=1 SV=1,0.3543,0.25,0.1643,0.3285,0.3165,0.2972,0.4224,0.2612,0.2024,0.2613,0.2602,0.1904,12
GUAA_HUMAN_P49915,GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens GN=GMPS PE=1 SV=1,1.8702,1.8913,1.8184,1.5859,2.0293,2.1493,2.2167,1.9855,1.839,1.3201,1.7305,1.4972,12
DNJA1_HUMAN_P31689,DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2,0.8935,0.6964,0.504,0.2912,0.3026,0.4643,0.4737,0.2593,0.3163,0.4491,0.3999,0.4215,12
C9J0D1_HUMAN_C9J0D1,Histone H2A OS=Homo sapiens GN=H2AFV PE=1 SV=1,0.6616,0.3905,2.5248,0.3526,0.41,0.2817,0.4933,0.5136,0.4292,0.5288,0.4294,0.2856,12
UCRI_HUMAN_P47985,Cytochrome b-c1 complex subunit Rieske_ mitochondrial OS=Homo sapiens GN=UQCRFS1 PE=1 SV=2,0.2474,0.1763,0.2746,0.2987,0.2187,0.2348,0.2887,0.2577,0.1477,0.217,0.1621,0.1796,12
USMG5_HUMAN_Q96IX5,Up-regulated during skeletal muscle growth protein 5 OS=Homo sapiens GN=USMG5 PE=1 SV=1,0.1426,0.0732,0.1208,0.1056,0.0715,0.107,0.0644,0.1271,0.1018,0.0665,0.1173,0.0855,12
GNL1_HUMAN_P36915,Guanine nucleotide-binding protein-like 1 OS=Homo sapiens GN=GNL1 PE=1 SV=2,0.313,0.3782,0.6011,0.2424,0.1336,0.6581,0.1503,0.2997,0.1762,0.2115,0.236,0.2485,12
GRWD1_HUMAN_Q9BQ67,Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens GN=GRWD1 PE=1 SV=1,0.1807,0.1351,0.2234,0.1465,0.1627,0.1594,0.194,0.1527,0.1295,0.1463,0.1129,0.1427,12
PRDX2_HUMAN_P32119,Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5,0.9576,0.8867,0.9881,0.5917,0.6482,0.6905,0.6345,0.7164,0.5574,0.7095,0.7763,0.584,12
UBP14_HUMAN_P54578,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14 PE=1 SV=3,0.7166,0.6759,0.4676,0.5288,0.4523,0.4497,3.3271,0.4466,0.439,0.6012,0.5716,0.3891,12
GOGA3_HUMAN_Q08378,Golgin subfamily A member 3 OS=Homo sapiens GN=GOLGA3 PE=1 SV=2,0.6076,1.6898,0.6129,1.3375,0.4289,0.2149,1.0064,1.6683,0.0748,1.752,2.9547,2.2767,12
PUR9_HUMAN_P31939,Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3,0.5645,0.693,0.6925,0.9979,1.1133,1.282,1.2694,0.7106,0.513,1.1946,0.9757,1.0435,12
RS13_HUMAN_P62277,40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2,1.2761,1.1217,1.4804,1.0207,1.0611,0.994,1.0552,1.2615,0.8924,1.0057,0.9626,0.9741,12
ODO2_HUMAN_P36957,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex_ mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4,1.6165,1.7372,1.8167,2.3017,2.4065,2.4947,3.0909,1.7225,1.1398,2.9503,2.3536,2.7716,12
ACTN3_HUMAN_Q08043,Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=2,0.3775,0.0979,0.0597,1.4277,1.3029,0.6745,0.3876,0.1153,0.2046,0.175,0.1134,0.2782,12
VATG1_HUMAN_O75348,V-type proton ATPase subunit G 1 OS=Homo sapiens GN=ATP6V1G1 PE=1 SV=3,0.1509,0.1338,0.3281,0.1194,0.1177,0.1141,0.1119,0.1709,0.0946,0.1407,0.1189,0.136,12
CATC_HUMAN_P53634,Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2,0.1543,0.4239,0.421,0.3923,0.4149,0.2588,0.3676,0.1968,0.3567,0.1593,0.1371,0.2805,12
SND1_HUMAN_Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,3.2844,3.0141,2.7908,1.9783,2.6192,2.4746,2.7765,3.0308,1.9449,2.4441,2.4766,2.4155,12
PREP_HUMAN_Q5JRX3,Presequence protease_ mitochondrial OS=Homo sapiens GN=PITRM1 PE=1 SV=3,0.782,0.6226,0.5496,0.6714,0.7668,0.5496,0.5986,0.7606,0.4864,0.8466,0.6958,0.6123,12
PYGB_HUMAN_P11216,Glycogen phosphorylase_ brain form OS=Homo sapiens GN=PYGB PE=1 SV=5,2.5152,1.5128,1.7939,0.9947,1.2229,1.2525,1.5699,1.8024,0.8768,1.0323,0.8857,1.0001,12
COX17_HUMAN_Q14061,Cytochrome c oxidase copper chaperone OS=Homo sapiens GN=COX17 PE=1 SV=2,0.215,0.2059,0.0979,0.1103,0.1146,0.0752,0.1266,0.171,0.1158,0.1463,0.148,0.1345,12
PYRG1_HUMAN_P17812,CTP synthase 1 OS=Homo sapiens GN=CTPS1 PE=1 SV=2,0.5913,0.5913,0.7884,0.6612,0.7225,0.8408,0.9712,0.7313,0.5711,0.8457,0.6223,0.4249,12
JUPI2_HUMAN_Q9H910,Jupiter microtubule associated homolog 2 OS=Homo sapiens GN=JPT2 PE=1 SV=1,0.3099,0.278,0.3276,0.1979,0.2541,0.2411,0.3198,0.3515,0.2755,0.3116,0.3176,0.3061,12
TXNL1_HUMAN_O43396,Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3,0.5158,0.4906,0.3716,0.3727,0.2959,0.3221,0.4622,0.4159,0.3097,0.3578,0.3094,0.3403,12
ACL6A_HUMAN_O96019,Actin-like protein 6A OS=Homo sapiens GN=ACTL6A PE=1 SV=1,1.144,0.8433,0.5635,0.4657,0.6058,0.6095,0.7511,0.9314,0.769,0.8422,0.7858,0.4186,12
MDC1_HUMAN_Q14676,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3,0.5088,0.2946,1.5796,3.2819,0.8434,3.1191,0.2613,0.0987,0.2729,1.8741,1.1135,0.9172,12
ENOG_HUMAN_P09104,Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3,0.5067,0.411,0.4687,0.6423,0.4952,0.5448,0.6232,0.4601,0.2473,0.3841,0.3756,0.1726,12
ADAS_HUMAN_O00116,Alkyldihydroxyacetonephosphate synthase_ peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1,0.3401,0.231,0.5531,0.3336,0.2139,0.2765,1.0465,0.2573,0.1675,0.2768,0.235,0.2881,12
SAE2_HUMAN_Q9UBT2,SUMO-activating enzyme subunit 2 OS=Homo sapiens GN=UBA2 PE=1 SV=2,0.6279,0.6046,0.5097,0.7629,0.8032,0.5349,0.747,0.5544,0.5826,0.5394,0.6229,0.6656,12
AMPL_HUMAN_P28838,Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3,1.263,1.2693,1.2169,0.7628,0.8001,0.7885,0.8335,0.8223,0.9132,0.8857,0.7577,0.6362,12
AP1S1_HUMAN_P61966,AP-1 complex subunit sigma-1A OS=Homo sapiens GN=AP1S1 PE=1 SV=1,0.2327,0.2931,0.2633,0.1566,0.2489,0.1645,0.2252,0.2916,0.1248,0.2948,0.3168,0.2406,12
STMN1_HUMAN_P16949,Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3,1.4995,1.2672,1.5325,0.8891,0.9465,0.9918,1.0005,1.0433,0.8173,0.9728,0.9494,0.9139,12
CDC37_HUMAN_Q16543,Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37 PE=1 SV=1,2.6651,2.8373,2.6046,2.1993,2.637,2.6682,2.605,2.4822,1.2412,2.602,2.7765,2.4735,12
GALK1_HUMAN_P51570,Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1,0.2661,0.2828,0.2322,0.2081,0.2139,0.214,0.2546,0.3011,0.2087,0.2136,0.2179,0.2238,12
PRS6B_HUMAN_P43686,26S protease regulatory subunit 6B OS=Homo sapiens GN=PSMC4 PE=1 SV=2,0.6435,0.7786,0.7795,0.5971,0.6561,0.5546,0.7138,0.6897,0.553,0.5252,0.6282,0.5899,12
ANXA3_HUMAN_P12429,Annexin A3 OS=Homo sapiens GN=ANXA3 PE=1 SV=3,1.3801,1.3909,1.3175,0.9503,1.0779,1.0586,1.1203,0.9982,0.8439,1.1627,1.0838,0.8995,12
DHX15_HUMAN_O43143,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2,1.6746,1.3034,1.403,1.038,1.3442,1.4058,1.442,1.9494,1.1984,1.4025,1.2689,1.8625,12
TYSY_HUMAN_P04818,Thymidylate synthase OS=Homo sapiens GN=TYMS PE=1 SV=3,0.4386,0.216,0.2839,0.1391,0.1568,0.252,0.2376,0.2925,0.1914,0.2485,0.2417,0.1505,12
RM11_HUMAN_Q9Y3B7,39S ribosomal protein L11_ mitochondrial OS=Homo sapiens GN=MRPL11 PE=1 SV=1,0.0986,0.1564,0.1047,0.0878,0.0957,0.0988,0.1192,0.079,0.0637,0.1074,0.1078,0.0906,12
RAB3B_HUMAN_P20337,Ras-related protein Rab-3B OS=Homo sapiens GN=RAB3B PE=1 SV=2,0.3522,0.1992,0.1892,0.1786,0.1414,0.1513,0.2694,0.2488,0.147,0.1575,0.1539,0.123,12
ENO1_YEAST_P00924,Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3,4.6873,4.6873,4.6873,4.6873,4.6873,4.6873,4.6873,4.6873,4.6873,4.6873,4.6873,4.6873,12
MIC19_HUMAN_Q9NX63,MICOS complex subunit MIC19 OS=Homo sapiens GN=CHCHD3 PE=1 SV=1,0.3783,0.3344,0.3109,0.2315,0.2768,0.2596,0.2371,0.3142,0.2244,0.2589,0.2502,0.2645,12
MK01_HUMAN_P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3,0.2004,0.2124,0.2091,0.2578,0.2178,0.2022,0.3705,0.1656,0.1548,0.3545,0.1323,0.2001,12
PYGL_HUMAN_P06737,Glycogen phosphorylase_ liver form OS=Homo sapiens GN=PYGL PE=1 SV=4,1.9248,0.9378,1.1242,0.8714,1.2219,1.0153,1.2573,2.2017,0.9251,1.406,0.8603,0.8158,12
