protein.key_protein.Accession,protein.Description,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep1_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep2_Merged_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_KOGSK_Rep3_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep1_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep2_001_Merged_Spectrum_IA_final_protein,protein.ngramOnColumn -> EmillyBowler_WT_Rep3_001_Merged_Spectrum_IA_final_protein,Present_NumFiles
1262_AT12A_HUMAN,Potassium-transporting ATPase alpha chain 2 OS=Homo sapiens GN=ATP12A PE=1 SV=3,7.4416,0.6940,NaN,1.9240,0.4395,1.4446,5
13753_PSD1_HUMAN,PH and SEC7 domain-containing protein 1 OS=Homo sapiens GN=PSD PE=1 SV=2,0.8904,0.2119,1.9294,NaN,1.2612,3.1370,5
14139_RASN_HUMAN,GTPase NRas OS=Homo sapiens GN=NRAS PE=1 SV=1,1.6481,NaN,0.6880,0.3002,0.2103,0.5415,5
10875_MYO9B_HUMAN,Unconventional myosin-IXb OS=Homo sapiens GN=MYO9B PE=1 SV=3,101.9233,3.4707,19.1346,NaN,6.8045,84.0154,5
7199_GSHB_HUMAN,Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1,8.7992,NaN,23.7506,2.8094,3.8905,6.9824,5
14668_RM49_HUMAN,39S ribosomal protein L49_ mitochondrial OS=Homo sapiens GN=MRPL49 PE=1 SV=1,2.3149,NaN,0.8742,0.4273,1.3026,2.5839,5
11080_NCPR_HUMAN,NADPH--cytochrome P450 reductase OS=Homo sapiens GN=POR PE=1 SV=2,5.7805,3.1625,NaN,2.2329,4.2829,4.7035,5
8523_K1C20_HUMAN,Keratin_ type I cytoskeletal 20 OS=Homo sapiens GN=KRT20 PE=1 SV=1,1.4318,NaN,0.1966,0.1279,2.0673,0.7991,5
11393_NOC2L_HUMAN,Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4,11.3914,7.6894,NaN,10.1099,14.7259,6.0623,5
541_AFG32_HUMAN,AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2,9.7730,NaN,5.5429,4.4433,4.9731,6.0820,5
17200_TCOF_HUMAN,Treacle protein OS=Homo sapiens GN=TCOF1 PE=1 SV=3,24.0980,NaN,4.8573,9.2345,8.6874,16.3290,5
18611_UCHL3_HUMAN,Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens GN=UCHL3 PE=1 SV=1,3.2194,NaN,0.5808,0.2539,0.8646,0.9353,5
1279_AT2B1_HUMAN,Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1 PE=1 SV=3,18.9927,NaN,42.0460,3.3824,2.6487,8.3378,5
13640_PRP19_HUMAN,Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1,21.7375,NaN,5.5583,5.7158,7.0860,11.4245,5
13443_PPIL1_HUMAN,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1,2.5632,NaN,0.5812,1.1701,1.2224,1.8092,5
10967_NALP2_HUMAN,NACHT_ LRR and PYD domains-containing protein 2 OS=Homo sapiens GN=NLRP2 PE=1 SV=1,23.0041,NaN,5.4257,5.4085,11.0715,5.7423,5
14182_RBM15_HUMAN,Putative RNA-binding protein 15 OS=Homo sapiens GN=RBM15 PE=1 SV=2,13.2619,NaN,2.3110,1.2814,2.0649,6.0155,5
7833_HXK1_HUMAN,Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3,22.7033,NaN,3.0871,4.0163,3.3206,7.8920,5
1373_ATPD_HUMAN,ATP synthase subunit delta_ mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2,5.7026,NaN,2.9625,1.7385,1.8119,2.9485,5
5423_ERLN1_HUMAN,Erlin-1 OS=Homo sapiens GN=ERLIN1 PE=1 SV=1,16.3796,NaN,3.7021,3.3478,4.5221,6.4338,5
17089_TBB8_HUMAN,Tubulin beta-8 chain OS=Homo sapiens GN=TUBB8 PE=1 SV=2,3.8823,0.3552,0.9839,NaN,0.0325,0.8404,5
9242_LAMP1_HUMAN,Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3,7.5757,0.8753,NaN,2.8143,3.1267,5.6929,5
14684_RMXL1_HUMAN,RNA binding motif protein_ X-linked-like-1 OS=Homo sapiens GN=RBMXL1 PE=1 SV=1,1.3315,NaN,8.0741,0.2560,0.7339,1.8351,5
5178_EIF3K_HUMAN,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1,5.0392,NaN,2.3823,1.1568,3.5308,2.8792,5
11300_NIN_HUMAN,Ninein OS=Homo sapiens GN=NIN PE=1 SV=4,102.6945,NaN,42.1529,2.3992,3.5810,11.5796,5
17896_TOM5_HUMAN,Mitochondrial import receptor subunit TOM5 homolog OS=Homo sapiens GN=TOMM5 PE=1 SV=1,0.5673,NaN,0.1935,0.0686,0.0579,0.6368,5
14092_RALA_HUMAN,Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1,1.6319,NaN,0.2245,1.1192,0.5002,1.9852,5
13960_QCR9_HUMAN,Cytochrome b-c1 complex subunit 9 OS=Homo sapiens GN=UQCR10 PE=1 SV=3,1.4095,NaN,0.6011,0.2306,0.2802,0.3216,5
11712_NUP37_HUMAN,Nucleoporin Nup37 OS=Homo sapiens GN=NUP37 PE=1 SV=1,4.9358,NaN,1.7910,0.7971,1.9901,2.1242,5
11985_OGFD1_HUMAN,Prolyl 3-hydroxylase OGFOD1 OS=Homo sapiens GN=OGFOD1 PE=1 SV=1,4.6237,NaN,0.4765,0.7178,1.5997,2.0052,5
14628_RM01_HUMAN,39S ribosomal protein L1_ mitochondrial OS=Homo sapiens GN=MRPL1 PE=1 SV=2,4.2583,NaN,1.2482,1.6207,3.1792,3.6184,5
6873_GNAI1_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens GN=GNAI1 PE=1 SV=2,2.2847,0.5955,0.3713,4.3434,NaN,5.4681,5
11406_NOL10_HUMAN,Nucleolar protein 10 OS=Homo sapiens GN=NOL10 PE=1 SV=1,9.3202,3.1256,NaN,1.3247,3.5169,6.7711,5
14935_RS19_HUMAN,40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2,7.9956,NaN,3.3506,4.4562,3.9699,4.0153,5
2427_CCD91_HUMAN,Coiled-coil domain-containing protein 91 OS=Homo sapiens GN=CCDC91 PE=1 SV=2,2.9818,0.1302,1.9285,2.0917,NaN,0.7864,5
14529_RIMB1_HUMAN,Peripheral-type benzodiazepine receptor-associated protein 1 OS=Homo sapiens GN=BZRAP1 PE=1 SV=2,7.9132,NaN,21.8907,4.8677,10.8502,6.2628,5
6842_GLU2B_HUMAN,Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2,19.3264,NaN,6.5218,5.4273,6.0482,11.5207,5
12419_P3H3_HUMAN,Prolyl 3-hydroxylase 3 OS=Homo sapiens GN=LEPREL2 PE=1 SV=1,1.8709,NaN,1.0444,1.1211,3.9373,1.7465,5
9939_MAGB1_HUMAN,Melanoma-associated antigen B1 OS=Homo sapiens GN=MAGEB1 PE=1 SV=2,1.0389,1.6716,1.3890,NaN,0.2134,0.2842,5
17182_TCEA1_HUMAN,Transcription elongation factor A protein 1 OS=Homo sapiens GN=TCEA1 PE=1 SV=2,5.4105,NaN,1.0299,1.5603,1.7567,2.3368,5
16692_STX18_HUMAN,Syntaxin-18 OS=Homo sapiens GN=STX18 PE=1 SV=1,3.2143,NaN,1.3272,0.4533,0.7179,9.4979,5
19028_WDR61_HUMAN,WD repeat-containing protein 61 OS=Homo sapiens GN=WDR61 PE=1 SV=1,3.0545,NaN,0.5109,0.4795,0.5587,1.3605,5
16067_SMU1_HUMAN,WD40 repeat-containing protein SMU1 OS=Homo sapiens GN=SMU1 PE=1 SV=2,9.6550,9.0259,NaN,2.7082,2.9179,4.9290,5
8533_K1H1_HUMAN,Keratin_ type I cuticular Ha1 OS=Homo sapiens GN=KRT31 PE=2 SV=3,0.7340,NaN,1.6023,0.2352,0.1118,3.1000,5
18488_UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,10.1197,NaN,3.4503,2.5221,5.3411,12.1033,5
7753_HUWE1_HUMAN,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3,81.6549,21.7327,NaN,42.6108,16.9340,48.7111,5
10524_MOT4_HUMAN,Monocarboxylate transporter 4 OS=Homo sapiens GN=SLC16A3 PE=1 SV=1,6.0495,8.4569,NaN,1.9146,2.4837,6.7860,5
4026_CTBP1_HUMAN,C-terminal-binding protein 1 OS=Homo sapiens GN=CTBP1 PE=1 SV=2,4.6409,3.1262,NaN,1.4067,0.8893,2.1507,5
17448_TIA1_HUMAN,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3,1.5876,0.2797,NaN,0.5918,2.7917,0.9751,5
8546_K2C4_HUMAN,Keratin_ type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4,8.7187,NaN,0.4353,4.2468,1.0101,1.4773,5
14041_RAB5A_HUMAN,Ras-related protein Rab-5A OS=Homo sapiens GN=RAB5A PE=1 SV=2,1.1208,0.1676,0.8896,NaN,0.9661,1.4644,5
3559_COIL_HUMAN,Coilin OS=Homo sapiens GN=COIL PE=1 SV=1,2.8591,NaN,0.9539,2.7448,2.5114,16.5494,5
89_2ABA_HUMAN,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Homo sapiens GN=PPP2R2A PE=1 SV=1,5.3092,NaN,1.9173,2.0197,1.1655,5.5457,5
638_AKP8L_HUMAN,A-kinase anchor protein 8-like OS=Homo sapiens GN=AKAP8L PE=1 SV=3,7.3305,NaN,2.3094,1.1221,1.2769,1.7035,5
14042_RAB5B_HUMAN,Ras-related protein Rab-5B OS=Homo sapiens GN=RAB5B PE=1 SV=1,0.8904,0.0564,0.9040,NaN,0.6576,0.4010,5
11230_NF2IP_HUMAN,NFATC2-interacting protein OS=Homo sapiens GN=NFATC2IP PE=1 SV=1,4.2768,NaN,0.9120,0.2396,0.4198,0.4591,5
16055_SMRC2_HUMAN,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1,22.4111,NaN,9.0817,2.2561,6.7501,13.1840,5
11126_NDUAD_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3,14.5211,0.7912,0.3709,NaN,2.4542,4.0503,5
5054_ECI1_HUMAN,Enoyl-CoA delta isomerase 1_ mitochondrial OS=Homo sapiens GN=ECI1 PE=1 SV=1,10.9990,NaN,2.5717,1.6086,1.5962,4.0839,5
8758_KCY_HUMAN,UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3,4.4467,3.5246,0.9133,NaN,0.9537,2.1096,5
18522_UBFD1_HUMAN,Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens GN=UBFD1 PE=1 SV=2,3.0833,NaN,0.7251,1.8866,0.8338,1.6734,5
5873_FA98A_HUMAN,Protein FAM98A OS=Homo sapiens GN=FAM98A PE=1 SV=1,7.2877,NaN,2.0078,1.4953,2.0922,2.8886,5
15951_SLD5_HUMAN,DNA replication complex GINS protein SLD5 OS=Homo sapiens GN=GINS4 PE=1 SV=1,1.1918,NaN,0.3029,0.1834,0.3178,0.4600,5
14355_RFC2_HUMAN,Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3,4.8538,NaN,2.6022,1.7134,2.9669,6.1505,5
4293_DAPLE_HUMAN,Protein Daple OS=Homo sapiens GN=CCDC88C PE=1 SV=3,63.0481,NaN,7.2286,12.4164,17.0456,24.7179,5
3093_CING_HUMAN,Cingulin OS=Homo sapiens GN=CGN PE=1 SV=2,8.1143,2.6050,NaN,1.8045,4.8844,5.1048,5
3886_CROL3_HUMAN,Putative ciliary rootlet coiled-coil protein-like 3 protein OS=Homo sapiens PE=5 SV=2,10.8225,NaN,9.0694,17.5246,123.4151,64.8343,5
4891_DSG2_HUMAN,Desmoglein-2 OS=Homo sapiens GN=DSG2 PE=1 SV=2,24.7090,NaN,14.5896,5.6047,6.7522,13.3555,5
7391_HCDH_HUMAN,Hydroxyacyl-coenzyme A dehydrogenase_ mitochondrial OS=Homo sapiens GN=HADH PE=1 SV=3,5.3732,NaN,1.7601,0.5151,0.9940,1.6146,5
19484_ZC3HD_HUMAN,Zinc finger CCCH domain-containing protein 13 OS=Homo sapiens GN=ZC3H13 PE=1 SV=1,12.3509,NaN,4.3053,10.6420,2.9473,4.5315,5
7096_GPX4_HUMAN,Phospholipid hydroperoxide glutathione peroxidase_ mitochondrial OS=Homo sapiens GN=GPX4 PE=1 SV=3,1.7648,NaN,0.2442,0.3176,0.1381,0.5758,5
7700_HS902_HUMAN,Putative heat shock protein H90-alpha A2 OS=Homo sapiens GN=HSP90AA2 PE=1 SV=2,6.4620,0.1525,0.5310,0.1341,NaN,0.0963,5
11379_NMT2_HUMAN,Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens GN=NMT2 PE=1 SV=1,2.6624,0.0469,1.1402,0.4543,NaN,7.0265,5
6839_GLTL5_HUMAN,Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5 OS=Homo sapiens GN=GALNTL5 PE=2 SV=3,2.7597,0.1229,3.0691,NaN,0.6777,0.9448,5
12504_PAIP1_HUMAN,Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens GN=PAIP1 PE=1 SV=1,4.1310,NaN,7.6129,1.3291,2.1964,7.0041,5
14955_RS5_HUMAN,40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4,5.6504,0.9952,NaN,3.1230,3.1249,7.0284,5
17417_THIO_HUMAN,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,2.9990,0.9245,0.4907,NaN,4.6795,6.6306,5
15067_RUXE_HUMAN,Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1,13.5869,1.1303,3.1285,NaN,0.8228,2.7218,5
10754_MTUS2_HUMAN,Microtubule-associated tumor suppressor candidate 2 OS=Homo sapiens GN=MTUS2 PE=1 SV=3,34.3571,NaN,5.3113,21.2517,14.2094,31.0511,5
16124_SNUT2_HUMAN,U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens GN=USP39 PE=1 SV=2,16.3962,NaN,3.7353,3.0674,4.6702,6.9421,5
7932_IDI1_HUMAN,Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens GN=IDI1 PE=1 SV=2,0.8539,NaN,0.0174,0.2229,0.2354,0.4058,5
8519_K1C16_HUMAN,Keratin_ type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4,0.8948,NaN,2.8591,0.2482,0.8160,2.7423,5
16648_STK4_HUMAN,Serine/threonine-protein kinase 4 OS=Homo sapiens GN=STK4 PE=1 SV=2,7.8832,0.4776,0.2794,NaN,0.1503,4.0091,5
16264_SPAT5_HUMAN,Spermatogenesis-associated protein 5 OS=Homo sapiens GN=SPATA5 PE=1 SV=3,6.0065,2.0246,NaN,0.8225,16.8687,3.6810,5
11597_NSDHL_HUMAN,Sterol-4-alpha-carboxylate 3-dehydrogenase_ decarboxylating OS=Homo sapiens GN=NSDHL PE=1 SV=2,3.1465,NaN,1.1712,0.4560,0.5098,1.1366,5
11681_NUCG_HUMAN,Endonuclease G_ mitochondrial OS=Homo sapiens GN=ENDOG PE=1 SV=4,4.1834,0.0338,NaN,0.7307,2.1887,2.4768,5
6896_GNPI2_HUMAN,Glucosamine-6-phosphate isomerase 2 OS=Homo sapiens GN=GNPDA2 PE=1 SV=1,2.8195,NaN,0.3144,0.4166,0.2681,0.6621,5
16285_SPCS2_HUMAN,Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=3,3.5617,NaN,0.9042,1.0124,0.5059,1.0306,5
14207_RBM4B_HUMAN,RNA-binding protein 4B OS=Homo sapiens GN=RBM4B PE=1 SV=1,0.4072,0.1776,0.0224,5.9688,0.1350,NaN,5
13825_PTH2_HUMAN,Peptidyl-tRNA hydrolase 2_ mitochondrial OS=Homo sapiens GN=PTRH2 PE=1 SV=1,4.9441,NaN,1.6362,0.1638,0.9370,1.8937,5
8551_K2C71_HUMAN,Keratin_ type II cytoskeletal 71 OS=Homo sapiens GN=KRT71 PE=1 SV=3,3.7068,NaN,0.0960,6.9464,0.1316,0.1729,5
12446_PA1B2_HUMAN,Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens GN=PAFAH1B2 PE=1 SV=1,5.2359,0.1576,NaN,0.8086,1.2634,1.7201,5
16223_SP100_HUMAN,Nuclear autoantigen Sp-100 OS=Homo sapiens GN=SP100 PE=1 SV=3,4.8184,NaN,1.4401,1.7529,16.0788,10.5589,5
8763_KDM1A_HUMAN,Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=2,3.7581,NaN,2.1027,1.8123,1.5949,4.8778,5
7244_GTR1_HUMAN,Solute carrier family 2_ facilitated glucose transporter member 1 OS=Homo sapiens GN=SLC2A1 PE=1 SV=2,11.0170,NaN,3.6500,3.3137,5.1998,6.0504,5
10549_MPH6_HUMAN,M-phase phosphoprotein 6 OS=Homo sapiens GN=MPHOSPH6 PE=1 SV=2,0.4028,NaN,0.0642,0.1215,0.2242,0.3084,5
14100_RANB3_HUMAN,Ran-binding protein 3 OS=Homo sapiens GN=RANBP3 PE=1 SV=1,2.7408,NaN,2.2139,0.7547,1.2620,2.4628,5
5049_ECHD1_HUMAN,Ethylmalonyl-CoA decarboxylase OS=Homo sapiens GN=ECHDC1 PE=1 SV=2,2.0435,NaN,0.7409,0.5156,1.3223,2.3037,5
9279_LA_HUMAN,Lupus La protein OS=Homo sapiens GN=SSB PE=1 SV=2,11.7256,NaN,6.1295,7.1231,5.9080,11.1992,5
7726_HSP7E_HUMAN,Heat shock 70 kDa protein 14 OS=Homo sapiens GN=HSPA14 PE=1 SV=1,3.9167,NaN,0.8016,0.7841,1.3712,2.5945,5
12871_PERQ2_HUMAN,PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1,7.9420,NaN,23.6835,2.8836,7.8188,7.0104,5
5681_F195B_HUMAN,Protein FAM195B OS=Homo sapiens GN=FAM195B PE=1 SV=1,0.4996,NaN,0.1653,0.0362,0.2491,0.3289,5
2117_CAPR1_HUMAN,Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2,22.9989,NaN,8.8084,8.2566,17.9008,19.2401,5
513_ADRO_HUMAN,NADPH:adrenodoxin oxidoreductase_ mitochondrial OS=Homo sapiens GN=FDXR PE=1 SV=3,11.7001,0.3711,1.5713,NaN,2.3823,4.2983,5
10395_MK67I_HUMAN,MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens GN=NIFK PE=1 SV=1,8.9791,NaN,2.4486,1.9298,4.1711,4.9223,5
10691_MTA1_HUMAN,Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2,3.4802,NaN,0.6825,0.9687,1.5973,2.5415,5
16273_SPB1_HUMAN,pre-rRNA processing protein FTSJ3 OS=Homo sapiens GN=FTSJ3 PE=1 SV=2,35.7831,NaN,6.6636,4.5032,5.9006,10.8456,5
14831_RPA34_HUMAN,DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens GN=CD3EAP PE=1 SV=1,0.8726,NaN,1.0884,0.5424,4.9651,1.1982,5
18911_VPS29_HUMAN,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1,1.9946,1.6175,0.3058,0.7969,0.8596,NaN,5
11301_NIP7_HUMAN,60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens GN=NIP7 PE=1 SV=1,4.0264,3.0319,0.8722,NaN,0.8727,0.9141,5
16809_SYLM_HUMAN,Probable leucine--tRNA ligase_ mitochondrial OS=Homo sapiens GN=LARS2 PE=1 SV=2,7.2692,3.4195,0.7115,3.0880,NaN,4.1022,5
16877_SYYM_HUMAN,Tyrosine--tRNA ligase_ mitochondrial OS=Homo sapiens GN=YARS2 PE=1 SV=2,6.3291,NaN,2.3357,1.0639,0.8448,1.7798,5
4622_DIXC1_HUMAN,Dixin OS=Homo sapiens GN=DIXDC1 PE=1 SV=2,1.8005,0.1331,1.5800,NaN,0.3627,0.5714,5
13896_PUR4_HUMAN,Phosphoribosylformylglycinamidine synthase OS=Homo sapiens GN=PFAS PE=1 SV=4,19.3636,11.3723,NaN,4.3841,8.1076,9.2455,5
10699_MTCH2_HUMAN,Mitochondrial carrier homolog 2 OS=Homo sapiens GN=MTCH2 PE=1 SV=1,6.3322,0.4234,NaN,0.8941,1.6370,1.3631,5
1213_ASF1B_HUMAN,Histone chaperone ASF1B OS=Homo sapiens GN=ASF1B PE=1 SV=1,1.7745,NaN,0.2029,0.3737,1.1645,1.0533,5
5299_ENOPH_HUMAN,Enolase-phosphatase E1 OS=Homo sapiens GN=ENOPH1 PE=1 SV=1,1.1159,NaN,0.4301,0.3984,0.5368,0.6961,5
18507_UBE2K_HUMAN,Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=1 SV=3,1.8453,2.1813,NaN,0.9696,1.3217,2.1529,5
14350_RFA2_HUMAN,Replication protein A 32 kDa subunit OS=Homo sapiens GN=RPA2 PE=1 SV=1,4.5435,0.2344,NaN,1.9713,2.1233,3.0888,5
2270_CBX8_HUMAN,Chromobox protein homolog 8 OS=Homo sapiens GN=CBX8 PE=1 SV=3,1.0755,NaN,0.3147,0.1415,0.2813,0.7598,5
4576_DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens GN=DHRS7 PE=1 SV=1,4.5935,NaN,1.3897,0.1269,0.3651,0.3329,5
8266_IPO9_HUMAN,Importin-9 OS=Homo sapiens GN=IPO9 PE=1 SV=3,24.8794,NaN,6.1581,3.2963,7.1436,10.4589,5
8297_IQGA3_HUMAN,Ras GTPase-activating-like protein IQGAP3 OS=Homo sapiens GN=IQGAP3 PE=1 SV=2,16.8995,NaN,8.8542,3.1559,53.7442,24.5812,5
13882_PTRF_HUMAN,Polymerase I and transcript release factor OS=Homo sapiens GN=PTRF PE=1 SV=1,7.5141,NaN,2.2583,1.0609,2.6282,2.1650,5
6864_GMPPB_HUMAN,Mannose-1-phosphate guanyltransferase beta OS=Homo sapiens GN=GMPPB PE=1 SV=2,1.7534,0.3621,NaN,0.5046,0.6210,1.2601,5
16500_SRSF4_HUMAN,Serine/arginine-rich splicing factor 4 OS=Homo sapiens GN=SRSF4 PE=1 SV=2,7.3416,NaN,1.0702,0.7867,1.5367,1.7503,5
14849_RPB3_HUMAN,DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens GN=POLR2C PE=1 SV=2,0.6453,NaN,0.3658,0.3084,0.3196,1.1560,5
13439_PPIE_HUMAN,Peptidyl-prolyl cis-trans isomerase E OS=Homo sapiens GN=PPIE PE=1 SV=1,5.7705,NaN,0.7352,0.2452,0.3096,0.2968,5
9120_KRT84_HUMAN,Keratin_ type II cuticular Hb4 OS=Homo sapiens GN=KRT84 PE=2 SV=2,4.0343,NaN,3.2951,0.7548,0.1478,4.9404,5
3546_COF2_HUMAN,Cofilin-2 OS=Homo sapiens GN=CFL2 PE=1 SV=1,2.2636,NaN,1.1478,1.1246,2.3039,4.0255,5
15320_S61A1_HUMAN,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens GN=SEC61A1 PE=1 SV=2,7.2529,0.3309,NaN,1.6645,1.4146,3.8319,5
11971_ODO1_HUMAN,2-oxoglutarate dehydrogenase_ mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=3,11.5753,NaN,5.2181,3.4393,3.0950,8.1019,5
11139_NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Homo sapiens GN=NDUFC2 PE=1 SV=1,1.1334,NaN,0.6967,0.2121,0.1986,0.6010,5
13654_PRPS3_HUMAN,Ribose-phosphate pyrophosphokinase 3 OS=Homo sapiens GN=PRPS1L1 PE=1 SV=2,0.0706,0.0368,NaN,0.0734,0.2541,0.2464,5
3991_CSTF3_HUMAN,Cleavage stimulation factor subunit 3 OS=Homo sapiens GN=CSTF3 PE=1 SV=1,5.1922,NaN,2.5784,1.3794,2.6276,6.3710,5
8518_K1C15_HUMAN,Keratin_ type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3,2.1465,NaN,0.2424,3.7558,0.3570,3.1459,5
5501_EVPL_HUMAN,Envoplakin OS=Homo sapiens GN=EVPL PE=1 SV=3,96.2625,NaN,11.7576,4.9282,10.1450,34.5167,5
18498_UBC9_HUMAN,SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,3.0347,2.3128,NaN,1.8642,2.8538,4.3653,5
18375_TX1B3_HUMAN,Tax1-binding protein 3 OS=Homo sapiens GN=TAX1BP3 PE=1 SV=2,0.4920,NaN,0.2954,0.0877,0.5225,0.2433,5
17217_TCPW_HUMAN,T-complex protein 1 subunit zeta-2 OS=Homo sapiens GN=CCT6B PE=1 SV=5,0.8953,NaN,0.1190,0.5386,1.7050,0.2544,5
14102_RANG_HUMAN,Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1,10.0066,NaN,2.2898,3.2622,1.8267,7.4637,5
11695_NUDC1_HUMAN,NudC domain-containing protein 1 OS=Homo sapiens GN=NUDCD1 PE=1 SV=2,8.4571,0.4326,NaN,1.3338,2.0925,9.0922,5
15425_SC23B_HUMAN,Protein transport protein Sec23B OS=Homo sapiens GN=SEC23B PE=1 SV=2,12.7196,NaN,2.1577,1.9805,2.1700,4.4999,5
7279_H10_HUMAN,Histone H1.0 OS=Homo sapiens GN=H1F0 PE=1 SV=3,7.4575,NaN,1.6604,1.8829,2.2961,2.8780,5
18766_VAMP3_HUMAN,Vesicle-associated membrane protein 3 OS=Homo sapiens GN=VAMP3 PE=1 SV=3,2.1362,NaN,0.9476,0.3757,0.4274,0.6173,5
14881_RPIA_HUMAN,Ribose-5-phosphate isomerase OS=Homo sapiens GN=RPIA PE=1 SV=3,2.4337,1.0079,0.2768,NaN,3.0570,4.4644,5
6846_GLYC_HUMAN,Serine hydroxymethyltransferase_ cytosolic OS=Homo sapiens GN=SHMT1 PE=1 SV=1,6.7574,0.4411,1.6982,NaN,2.6361,2.7344,5
11050_NCEH1_HUMAN,Neutral cholesterol ester hydrolase 1 OS=Homo sapiens GN=NCEH1 PE=1 SV=3,1.8490,NaN,1.4617,0.4333,0.7605,1.3945,5
10038_MAST4_HUMAN,Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens GN=MAST4 PE=1 SV=3,28.3147,1.1443,NaN,6.6806,18.6084,16.2789,5
3971_CSN8_HUMAN,COP9 signalosome complex subunit 8 OS=Homo sapiens GN=COPS8 PE=1 SV=1,2.3379,NaN,0.5943,0.3920,1.1165,1.6405,5
