protein.Accession,protein.Description,1 None,2 None,3 None,1 TGFB,2 TGFB,3 TGFB
P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens GN=PPP2R1B PE=1 SV=3,103.3728,35.7006,600.5583,106.4922,50.796,59.7891
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4,471.8937,712.6116,3327.795,1594.536,1023.1698,874.4253
P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1,61.5717,194.547,736.2894,283.0494,189.4026,240.4605
Q9HD15,Steroid receptor RNA activator 1 OS=Homo sapiens GN=SRA1 PE=1 SV=1,184.542,135.4506,731.1078,266.7612,194.6214,127.7808
P62070,Ras-related protein R-Ras2 OS=Homo sapiens GN=RRAS2 PE=1 SV=1,161.6169,196.6164,386.205,354.8793,238.5858,67.2168
Q9UBG0,C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2,334.7604,314.5785,2150.3796,683.5098,389.6598,324.9804
Q7L2H7,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,169.8114,455.9901,2089.4058,1433.6991,945.6234,796.8162
Q9Y2Q9,28S ribosomal protein S28_ mitochondrial OS=Homo sapiens GN=MRPS28 PE=1 SV=1,67.2042,51.4278,470.0634,20.1837,39.441,91.6917
P62277,40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2,289.0836,851.9625,4542.804,1516.5531,1033.7142,924.8679
Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2,214.749,146.0124,627.255,318.2793,166.9362,109.3974
Q9BWM7,Sideroflexin-3 OS=Homo sapiens GN=SFXN3 PE=2 SV=2,170.9595,144.9474,159.1353,239.6487,284.5773,132.9477
O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3,547.0779,763.2612,3286.515,1158.687,827.4039,642.3921
O00233,26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3,72.8481,92.0211,512.7807,256.8762,99.6051,94.74
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,170.6631,415.1718,2642.0874,481.2912,468.3846,243.6606
P23588,Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,188.0526,136.1793,329.7492,305.1948,238.956,138.1755
Q07065,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2,1581.8964,1763.3475,9316.029,2449.0485,2564.5116,2106.2568
Q8N5M4,Tetratricopeptide repeat protein 9C OS=Homo sapiens GN=TTC9C PE=1 SV=1,137.9292,114.7827,381.9729,168.0075,136.3935,172.0506
P50991,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4,264.2808,673.0092,4078.125,1640.2536,1071.9795,1009.368
P50990,T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4,175.9248,520.6698,2190.9579,1044.0276,776.9577,479.9643
P50993,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1,11.4696,18.3822,354.4683,225.9273,153.2238,276.5409
P50995,Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1,314.4468,353.532,1866.3996,573.8484,377.1153,310.4958
Q15257,Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens GN=PPP2R4 PE=1 SV=3,483.9234,289.488,1832.5521,202.539,83.8014,129.7545
Q5GLZ8,Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens GN=HERC4 PE=1 SV=1,80.5149,104.9091,428.2218,345.4518,87.1386,73.6587
Q96TA1,Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3,480.9318,758.7552,3205.437,1498.0875,1156.9692,820.5048
P31040,Succinate dehydrogenase [ubiquinone] flavoprotein subunit_ mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2,307.1604,498.7923,1558.5255,583.0512,671.7939,534.6936
P09104,Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3,90.5088,179.3508,761.304,280.1697,220.5114,161.4192
P51153,Ras-related protein Rab-13 OS=Homo sapiens GN=RAB13 PE=1 SV=1,40.1532,16.1025,69.4407,78.8802,28.3038,31.734
P51151,Ras-related protein Rab-9A OS=Homo sapiens GN=RAB9A PE=1 SV=1,65.7645,67.8879,842.8296,144.4593,177.1425,56.0307
O76074,cGMP-specific 3'_5'-cyclic phosphodiesterase OS=Homo sapiens GN=PDE5A PE=1 SV=2,89.9829,200.1126,696.8589,172.173,260.9943,147.2664
Q96I24,Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2,209.1063,286.0629,1279.5525,499.2594,368.3262,248.6682
O00303,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1,395.2923,541.9182,2084.8005,878.5305,919.959,581.0982
Q96T37,Putative RNA-binding protein 15 OS=Homo sapiens GN=RBM15 PE=1 SV=2,62.112,91.7661,463.8903,209.352,158.1633,127.3548
Q6P5R6,60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2,32.298,68.1186,909.4821,366.7812,235.2387,252.1743
O95373,Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1,363.2964,642.339,2757.1197,1275.228,929.9568,649.9152
O95372,Acyl-protein thioesterase 2 OS=Homo sapiens GN=LYPLA2 PE=1 SV=1,114.4467,182.5686,800.6745,274.6968,222.7053,150.8403
P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,297.8694,668.1291,2760.771,858.9393,700.6167,776.1975
Q969X6,Cirhin OS=Homo sapiens GN=CIRH1A PE=1 SV=1,47.0766,47.688,177.9282,216.8274,63.0177,40.1985
Q9UMX0,Ubiquilin-1 OS=Homo sapiens GN=UBQLN1 PE=1 SV=2,319.0602,303.006,371.007,738.7518,396.1158,73.8015
O14579,Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3,501.678,380.4477,1929.8907,852.0093,557.9052,388.3149
Q9UL25,Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3,262.3716,161.8818,764.9253,225.4497,205.1526,131.0679
Q9NXW2,DnaJ homolog subfamily B member 12 OS=Homo sapiens GN=DNAJB12 PE=1 SV=4,36.1689,55.95,243.936,93.1146,63.7695,89.6295
P62851,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,318.1545,830.4195,4056.942,1150.4895,1093.5453,1055.0745
P18621,60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3,325.2084,837.7113,3058.443,1186.0335,1078.2432,715.0971
P78406,mRNA export factor OS=Homo sapiens GN=RAE1 PE=1 SV=1,63.7758,114.5595,536.3523,244.4709,193.8243,106.7523
P52597,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3,268.5087,280.5543,1237.851,385.8225,497.9919,397.5405
Q92882,Osteoclast-stimulating factor 1 OS=Homo sapiens GN=OSTF1 PE=1 SV=2,18.3021,140.6187,645.0273,250.1046,153.4389,106.5549
P17655,Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6,521.271,720.426,3627.417,1482.8217,896.1249,668.3187
Q9NQC3,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,737.0127,1092.5979,6111.057,2388.3615,1314.2598,1149.1743
P09211,Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,19.8384,647.5362,1732.5123,871.3617,692.7081,330.3864
Q10570,Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens GN=CPSF1 PE=1 SV=2,77.0028,104.268,228.5568,178.0548,205.143,86.7939
O15371,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1,286.7772,283.3047,1436.6289,572.7429,420.0765,289.1973
Q15029,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1,70.5561,206.2866,758.5287,454.8576,238.1697,245.2206
Q15021,Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3,202.6596,174.4812,405.1479,284.4846,324.3072,173.1615
Q86V81,THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3,433.1127,243.948,1158.8982,683.5236,359.199,147.9501
Q5JRX3,Presequence protease_ mitochondrial OS=Homo sapiens GN=PITRM1 PE=1 SV=2,78.1191,128.5932,791.0025,306.9333,173.4321,96.9459
P78318,Immunoglobulin-binding protein 1 OS=Homo sapiens GN=IGBP1 PE=1 SV=1,101.5545,88.4949,597.0174,212.4561,98.4114,79.4841
P02792,Ferritin light chain OS=Homo sapiens GN=FTL PE=1 SV=2,289.3617,298.3554,1207.3809,749.5458,439.9671,451.4457
P04083,Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,548.1816,1493.9208,7417.224,2423.6403,2269.6554,1558.5744
P04080,Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2,66.6702,577.155,2779.1514,1144.3062,892.8774,504.6546
P46459,Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3,102.3732,182.58,1381.9161,564.8733,214.0305,129.0915
P35611,Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2,83.1474,236.1819,584.2656,284.1027,270.6402,182.7717
Q12874,Splicing factor 3A subunit 3 OS=Homo sapiens GN=SF3A3 PE=1 SV=1,75.1503,129.0987,301.4154,325.8915,67.7946,156.4335
P00403,Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1,383.1162,387.5079,2247.6351,622.5573,426.4695,523.2234
P17812,CTP synthase 1 OS=Homo sapiens GN=CTPS1 PE=1 SV=2,90.0879,176.8878,1054.0989,641.2341,491.5791,317.1615
Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3,863.7828,1377.9276,6606.228,2626.0746,1769.2689,1444.2225
O43815,Striatin OS=Homo sapiens GN=STRN PE=1 SV=4,90.4893,78.2895,766.2093,316.8474,177.9213,135.0831
P32969,60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1,86.1645,358.0623,1355.2464,597.0345,513.561,412.5021
Q5JTV8,Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=2,112.3857,126.7398,750.8574,279.7761,177.6915,121.9413
O00754,Lysosomal alpha-mannosidase OS=Homo sapiens GN=MAN2B1 PE=1 SV=3,196.5489,109.5315,567.1575,235.3221,209.3586,123.3945
O43747,AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5,141.3618,199.7262,629.8413,361.2243,144.9654,164.2032
P42224,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 PE=1 SV=2,407.4327,333.2643,1363.8303,541.0899,307.9773,195.5856
Q9NVA2,Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=3,583.2945,470.0778,2480.2164,945.9078,581.1027,408.7587
P04792,Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2,1703.2638,1837.7562,8560.962,3037.614,2292.003,1738.7136
P14136,Glial fibrillary acidic protein OS=Homo sapiens GN=GFAP PE=1 SV=1,47.4477,53.7513,444.2511,39.3957,26.1297,43.6056
P11166,Solute carrier family 2_ facilitated glucose transporter member 1 OS=Homo sapiens GN=SLC2A1 PE=1 SV=2,314.3517,122.5542,1206.4035,300.7452,160.6824,231.075
P30837,Aldehyde dehydrogenase X_ mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3,71.2566,209.6091,690.1419,194.2692,226.5867,206.5416
P28161,Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=1 SV=2,34.9332,217.767,964.6587,368.3229,229.8615,180.1881
P49903,Selenide_ water dikinase 1 OS=Homo sapiens GN=SEPHS1 PE=1 SV=2,94.8597,165.1146,836.3157,275.8239,238.1193,141.4872
Q8N766,ER membrane protein complex subunit 1 OS=Homo sapiens GN=EMC1 PE=1 SV=1,78.3276,190.7049,575.013,479.9625,238.9173,220.281
P27348,14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1,298.62,716.3148,3454.869,964.7169,869.4849,803.8359
Q14444,Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2,212.1021,184.7718,1790.0928,959.2674,335.6055,223.1733
P14625,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,867.312,1335.9009,5045.004,2640.7539,2170.38,1494.1236
Q68CQ7,Glycosyltransferase 8 domain-containing protein 1 OS=Homo sapiens GN=GLT8D1 PE=1 SV=2,49.8567,45.6957,218.8155,177.525,104.997,69.2913
P57721,Poly(rC)-binding protein 3 OS=Homo sapiens GN=PCBP3 PE=1 SV=2,15.1857,12.1218,119.8881,94.8096,15.5094,33.1977
Q99497,Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2,17.1519,105.0723,214.6386,938.751,323.6589,201.8058
Q969Z0,Protein TBRG4 OS=Homo sapiens GN=TBRG4 PE=1 SV=1,67.4907,40.8015,287.6862,205.2705,67.0371,100.6191
P54687,Branched-chain-amino-acid aminotransferase_ cytosolic OS=Homo sapiens GN=BCAT1 PE=1 SV=3,75.078,65.1849,587.9445,140.9667,93.891,126.0708
O95573,Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3,89.3829,162.9,1909.7583,287.7486,211.9908,154.0047
O14974,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens GN=PPP1R12A PE=1 SV=1,303.3333,91.9107,1529.7354,240.4677,172.0503,119.4834
Q8WUM4,Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1,128.1333,310.0104,1461.8511,694.7667,469.221,347.682
Q8WUM0,Nuclear pore complex protein Nup133 OS=Homo sapiens GN=NUP133 PE=1 SV=2,30.3051,48.8889,414.714,182.9049,771.8514,57.6849
P07237,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,1047.2142,1272.8085,6004.176,1817.7282,1663.2612,1399.8663
P07942,Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1 PE=1 SV=2,311.115,322.3284,1621.0806,462.3945,361.2324,255.4983
P16070,CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3,755.346,1058.2431,6424.23,2235.8904,1184.1012,889.6599
Q13310,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,57.9279,150.8322,616.1034,435.6165,213.4743,286.965
P46939,Utrophin OS=Homo sapiens GN=UTRN PE=1 SV=2,285.2823,359.5191,1016.8716,346.6095,262.4403,243.7287
Q9HCU5,Prolactin regulatory element-binding protein OS=Homo sapiens GN=PREB PE=1 SV=2,106.8042,158.1627,682.7934,287.0775,106.7403,91.656
P15313,V-type proton ATPase subunit B_ kidney isoform OS=Homo sapiens GN=ATP6V1B1 PE=1 SV=3,72.2091,26.7981,83.9628,26.1021,26.8974,38.5908
Q9UG63,ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2,198.2583,178.7358,524.2878,384.5046,243.4044,135.4191
P11388,DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3,42.8838,97.4544,411.1824,221.9637,211.3191,130.1226
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2,103.8255,108.1767,1007.3331,346.9884,136.449,84.7041
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3,152.115,113.847,748.7277,406.3635,316.9095,200.3487
Q13404,Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2,294.7035,237.8505,713.2365,365.2167,258.4668,194.2809
Q13409,Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=1 SV=3,109.251,154.926,240.1281,221.2494,168.5151,78.4905
Q9UPU9,Protein Smaug homolog 1 OS=Homo sapiens GN=SAMD4A PE=1 SV=3,64.2,89.5047,428.964,107.8539,180.7857,108.1866
P05787,Keratin_ type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7,16.7871,24.228,377.4453,55.6521,33.477,23.7669
P36405,ADP-ribosylation factor-like protein 3 OS=Homo sapiens GN=ARL3 PE=1 SV=2,26.0013,115.2102,524.523,299.0793,184.6599,126.3531
P47914,60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2,102.9576,406.1523,324.9639,195.8352,206.0043,158.118
Q9NXF1,Testis-expressed sequence 10 protein OS=Homo sapiens GN=TEX10 PE=1 SV=2,97.8327,122.8545,675.4173,275.1495,96.0903,83.874
Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens GN=PDXDC1 PE=1 SV=2,109.8978,85.4283,467.9334,189.096,162.5745,155.7582
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1,74.5935,164.8887,683.9922,356.8746,220.8333,152.2029
Q9UBQ0,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1,40.62,267.7578,1197.5013,543.4146,374.8284,321.2607
P15289,Arylsulfatase A OS=Homo sapiens GN=ARSA PE=1 SV=3,90.156,76.8363,145.473,133.0311,63.3984,55.3644
P31323,cAMP-dependent protein kinase type II-beta regulatory subunit OS=Homo sapiens GN=PRKAR2B PE=1 SV=3,35.1777,40.6827,236.3409,27.9591,63.9741,10.1697
Q01995,Transgelin OS=Homo sapiens GN=TAGLN PE=1 SV=4,557.0412,1404.3093,4483.944,1893.3732,2099.3574,1375.8831
Q13547,Histone deacetylase 1 OS=Homo sapiens GN=HDAC1 PE=1 SV=1,94.2876,100.7433,778.965,334.7322,202.965,64.5927
P62241,40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2,914.637,1274.2683,5143.59,1798.8699,1302.9915,762.1143
Q9NY93,Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens GN=DDX56 PE=1 SV=1,36.0993,64.884,161.802,190.7325,127.6545,56.9682
P62244,40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2,441.0057,692.3193,3488.376,1518.6225,1105.6662,753.0774
P04350,Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2,351.9798,13.3026,25.1244,67.014,22.6362,135.0615
Q96F86,Enhancer of mRNA-decapping protein 3 OS=Homo sapiens GN=EDC3 PE=1 SV=1,14.7894,61.6746,337.614,116.6826,107.5491,66.9675
P50454,Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2,1285.3575,2207.2314,8952.549,3210.069,2653.4898,1829.6346
P62249,40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,323.1489,639.6417,3541.068,1399.7259,1115.6136,928.3362
Q96A35,39S ribosomal protein L24_ mitochondrial OS=Homo sapiens GN=MRPL24 PE=1 SV=1,43.3164,101.8911,497.9823,852.6774,109.7502,95.2971
Q96L21,60S ribosomal protein L10-like OS=Homo sapiens GN=RPL10L PE=1 SV=3,140.5926,208.6659,1247.2467,195.186,278.1597,68.5914
P12236,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4,156.2436,95.8869,3731.697,1181.8866,886.8429,869.3508
P14209,CD99 antigen OS=Homo sapiens GN=CD99 PE=1 SV=1,36.8064,202.3647,1432.7613,658.3668,169.7613,347.3562
P12235,ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4,13.4394,38.2074,233.598,189.8622,69.2202,36.8613
Q96J02,E3 ubiquitin-protein ligase Itchy homolog OS=Homo sapiens GN=ITCH PE=1 SV=2,104.5221,59.808,342.3486,176.7369,41.0883,46.8303
Q8WWM7,Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2,113.2851,222.828,307.8372,374.0976,204.9195,51.9738
Q9UP95,Solute carrier family 12 member 4 OS=Homo sapiens GN=SLC12A4 PE=1 SV=2,32.4,113.4675,568.416,286.8903,156.2349,151.6743
Q92900,Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2,129.6723,320.229,1331.6841,677.8131,498.7959,277.8933
P61201,COP9 signalosome complex subunit 2 OS=Homo sapiens GN=COPS2 PE=1 SV=1,157.488,225.6897,1566.8376,617.8482,297.924,174.1221
Q96BM9,ADP-ribosylation factor-like protein 8A OS=Homo sapiens GN=ARL8A PE=1 SV=1,3.3747,4.0539,41.2569,83.9478,26.301,21.9153
Q13895,Bystin OS=Homo sapiens GN=BYSL PE=1 SV=3,102.5574,147.0822,672.144,361.4985,229.3998,146.5506
P34931,Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2,33.5226,17.6022,89.1555,20.5587,19.5408,11.5269
Q9ULC4,Malignant T-cell-amplified sequence 1 OS=Homo sapiens GN=MCTS1 PE=1 SV=1,25.485,150.6996,698.5323,356.9532,241.6641,112.6155
P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,271.1772,279.2133,1186.9377,669.0429,469.1097,369.27
P51149,Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1,522.6183,546.3144,2329.3497,885.5391,612.1209,501.8199
P51148,Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2,342.288,712.125,2334.372,1180.863,817.4487,608.3946
P05161,Ubiquitin-like protein ISG15 OS=Homo sapiens GN=ISG15 PE=1 SV=5,101.2695,53.3595,281.6841,115.8651,100.665,57.1263
Q9H6R4,Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2,117.6837,114.6036,549.5604,211.8417,216.5868,171.831
Q9NVD7,Alpha-parvin OS=Homo sapiens GN=PARVA PE=1 SV=1,139.038,151.7574,1529.5116,530.6061,326.4024,223.7616
P55265,Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4,433.5942,255.3489,989.538,601.1115,369.3306,306.5901
O00154,Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3,176.4879,540.5013,1879.7922,783.3267,496.9851,423.5616
Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4,659.5518,623.3559,3739.968,1322.8368,936.5469,626.5668
P30050,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,626.3292,705.7578,4850.001,1673.0214,1282.089,1054.5693
P11940,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,270.1614,598.0767,2800.1616,1132.8849,871.242,733.6512
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2,143.5944,147.1713,547.2048,228.4704,135.7473,140.0112
P35998,26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3,241.6893,271.5924,1705.128,599.016,354.666,297.9423
P55795,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1,22.7751,331.5108,1432.8693,583.3629,408.8511,206.6541
Q9BV57,1_2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Homo sapiens GN=ADI1 PE=1 SV=1,190.8909,172.2816,566.1432,298.3401,272.3547,104.5059
Q86UE4,Protein LYRIC OS=Homo sapiens GN=MTDH PE=1 SV=2,99.0654,87.0333,260.3343,553.4781,114.6897,66.8814
Q9NP66,High mobility group protein 20A OS=Homo sapiens GN=HMG20A PE=1 SV=1,31.7886,160.4325,179.1729,85.1757,40.8456,26.7678
P38117,Electron transfer flavoprotein subunit beta OS=Homo sapiens GN=ETFB PE=1 SV=3,47.5446,63.5715,89.6625,143.3148,65.5044,47.4405
Q9NNW7,Thioredoxin reductase 2_ mitochondrial OS=Homo sapiens GN=TXNRD2 PE=1 SV=3,60.1674,91.8825,262.9161,159.2442,179.6691,135.7488
P62861,40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1,122.598,367.0077,897.6075,975.471,909.2928,279.0144
Q92890,Ubiquitin fusion degradation protein 1 homolog OS=Homo sapiens GN=UFD1L PE=1 SV=3,55.5036,47.0976,617.6154,290.6217,243.4698,156.9339
Q92896,Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2,165.6696,158.5395,687.1593,548.2479,183.9081,210.738
Q15018,BRISC complex subunit Abro1 OS=Homo sapiens GN=FAM175B PE=1 SV=2,230.6553,248.0769,1013.6997,463.1274,554.5371,304.4334
P02786,Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2,305.8935,406.7898,1945.7172,846.1245,490.1514,401.8383
O95479,GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens GN=H6PD PE=1 SV=2,224.7744,209.9253,862.0863,343.3992,246.747,212.1759
Q10567,AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2,64.716,438.0288,1158.0924,333.9891,407.3874,275.5872
Q9BTV4,Transmembrane protein 43 OS=Homo sapiens GN=TMEM43 PE=1 SV=1,274.5801,343.3197,769.2243,798.0723,430.4817,209.3979
P45974,Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens GN=USP5 PE=1 SV=2,426.2736,513.999,2556.6525,1081.4991,547.9332,501.5046
O15143,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3,90.2397,407.8887,2015.5563,884.3751,489.1653,450.8802
O15144,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,619.6299,1030.9203,4780.809,1662.336,1016.3583,814.4649
Q9Y265,RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,311.4426,714.9993,2119.2288,1200.6345,857.8989,567.6429
Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1,235.9845,232.08,1254.1644,630.2565,404.1456,261.8646
Q08211,ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4,541.6851,575.8857,2768.0547,1027.3158,723.1953,448.3041
Q9Y4I1,Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=1 SV=2,94.617,1285.7283,268.737,235.4208,250.3119,70.3122
Q01518,Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5,271.2114,412.7283,1664.5128,1212.7701,745.6089,886.7649
Q14997,Proteasome activator complex subunit 4 OS=Homo sapiens GN=PSME4 PE=1 SV=2,71.3148,60.3912,312.2445,216.2823,472.5327,364.3734
P09661,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens GN=SNRPA1 PE=1 SV=2,63.3276,235.851,1019.2689,378.6675,243.2802,177.6207
Q8TAT6,Nuclear protein localization protein 4 homolog OS=Homo sapiens GN=NPLOC4 PE=1 SV=3,111.8682,223.5051,762.867,222.7644,247.6155,214.9419
