protein.Accession,protein.Description,protein.fmolOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.ngramOnColumn -> 1+TGFB+1+to+12_IA_final_protein,protein.fmolOnColumn -> 2+None+1+to+12_IA_final_protein,protein.ngramOnColumn -> 2+None+1+to+12_IA_final_protein,protein.fmolOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.ngramOnColumn -> LW_120613_1NONE_REPEAT_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_2TGFB_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3NONE_001_IA_final_protein,protein.fmolOnColumn -> LW_290513_3TGFB_001_IA_final_protein,protein.ngramOnColumn -> LW_290513_3TGFB_001_IA_final_protein,Present_NumFiles
P49721,Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1,183.4637,4.221,151.3298,3.4817,76.7778,1.7665,182.4223,4.1971,451.9455,10.3981,114.4039,2.6321,6
Q96C90,Protein phosphatase 1 regulatory subunit 14B OS=Homo sapiens GN=PPP1R14B PE=1 SV=3,22.6366,0.3628,19.6497,0.3149,20.1674,0.3232,30.0791,0.482,153.5298,2.4603,15.2371,0.2442,6
Q13617,Cullin-2 OS=Homo sapiens GN=CUL2 PE=1 SV=2,116.0369,10.1661,91.6325,8.028,59.035,5.1721,84.0488,7.3636,302.5095,26.503,70.4175,6.1693,6
P15311,Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4,265.1028,18.4318,130.9441,9.1041,136.6827,9.5031,199.4274,13.8656,684.6548,47.602,130.7087,9.0878,6
P04632,Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,457.604,13.0357,279.4368,7.9603,243.1163,6.9256,325.7186,9.2787,1276.012,36.3496,305.7526,8.7099,6
P60866,40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1,629.4646,8.4895,352.2864,4.7512,144.0842,1.9432,460.1425,6.2058,1174.011,15.8336,336.1762,4.5339,6
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4,209.3003,4.3205,148.9975,3.0757,29.2014,0.6028,165.8428,3.4234,427.7899,8.8308,109.8392,2.2674,6
Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1,310.338,8.967,193.5845,5.5935,101.8284,2.9423,244.607,7.0677,770.0018,22.2486,165.9507,4.795,6
O60888,Protein CutA OS=Homo sapiens GN=CUTA PE=1 SV=2,196.7743,3.7841,71.4055,1.3732,58.6936,1.1287,107.4064,2.0655,279.4419,5.3738,37.2335,0.716,6
P56537,Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1,273.7354,7.4216,140.6817,3.8142,148.3144,4.0212,180.3928,4.8909,819.61,22.2216,177.1547,4.8031,6
P16278,Beta-galactosidase OS=Homo sapiens GN=GLB1 PE=1 SV=2,188.2983,14.4107,81.1463,6.2102,29.3319,2.2448,103.5921,7.928,313.1865,23.9685,52.255,3.9991,6
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2,77.386,7.453,64.123,6.1756,25.513,2.4571,94.7325,9.1236,221.517,21.3341,72.1616,6.9498,6
Q5XKE5,Keratin_ type II cytoskeletal 79 OS=Homo sapiens GN=KRT79 PE=1 SV=2,10.7655,0.6257,5.7917,0.3366,6.5976,0.3835,40.2394,2.3387,183.0301,10.6379,5.5619,0.3233,6
Q6S8J3,POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=1 SV=3,80.7994,9.9351,96.5588,11.8729,40.3059,4.956,70.2255,8.635,479.4513,58.9536,113.0258,13.8977,6
P29353,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4,177.4327,11.2378,2.9377,0.1861,19.8511,1.2573,14.1254,0.8946,88.5377,5.6076,15.0584,0.9537,6
Q12907,Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1,234.2792,9.5049,69.2931,2.8113,58.9376,2.3912,139.7135,5.6683,395.5174,16.0465,114.5821,4.6487,6
Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,340.9476,32.6416,178.9984,17.1369,907.6818,86.8994,231.1437,22.1292,858.4371,82.1848,191.0559,18.2913,6
Q12905,Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2,170.6355,7.3869,72.5853,3.1422,51.8605,2.2451,141.4883,6.1251,537.213,23.2561,109.8978,4.7575,6
Q8WWI1,LIM domain only protein 7 OS=Homo sapiens GN=LMO7 PE=1 SV=3,284.2171,55.1727,180.024,34.9465,64.4241,12.5061,277.2175,53.8139,608.2752,118.0793,138.2454,26.8364,6
Q9NSD9,Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3,157.7606,10.5294,92.8701,6.1984,50.6757,3.3822,115.5979,7.7154,115.0598,7.6794,55.1181,3.6787,6
P37268,Squalene synthase OS=Homo sapiens GN=FDFT1 PE=1 SV=1,11.8295,0.5753,11.5809,0.5632,9.8359,0.4783,10.1421,0.4932,119.6131,5.8166,20.6253,1.003,6
Q32P51,Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens GN=HNRNPA1L2 PE=2 SV=2,2.6074,0.0897,1.3798,0.0475,1.7533,0.0603,4.8353,0.1663,8.7824,0.3021,2.0844,0.0717,6
A6NHQ2,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=1,4.9665,0.1725,3.1536,0.1095,67.9443,2.3599,7.6282,0.2649,52.3703,1.8189,3.068,0.1066,6
Q9UBI1,COMM domain-containing protein 3 OS=Homo sapiens GN=COMMD3 PE=1 SV=1,50.756,1.1359,12.1607,0.2721,32.4738,0.7267,23.9612,0.5362,72.3223,1.6185,15.0744,0.3374,6
Q15056,Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5,23.4336,0.6431,57.6916,1.5832,85.6364,2.35,82.9114,2.2753,55.672,1.5278,42.7557,1.1733,6
P27816,Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3,385.3021,46.8213,243.526,29.5929,83.5688,10.1552,292.8008,35.5807,662.2384,80.4742,215.0023,26.1267,6
O95219,Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1,54.596,2.8496,22.1021,1.1536,27.7499,1.4484,8.7983,0.4592,169.5147,8.8477,26.1525,1.365,6
P50479,PDZ and LIM domain protein 4 OS=Homo sapiens GN=PDLIM4 PE=1 SV=2,174.9518,6.2827,83.4158,2.9956,92.3163,3.3152,115.8778,4.1613,490.0252,17.5974,101.0019,3.6271,6
Q9Y224,UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1,271.9109,7.663,98.5452,2.7772,147.0936,4.1454,216.1462,6.0915,745.1409,20.9997,121.4364,3.4223,6
P49257,Protein ERGIC-53 OS=Homo sapiens GN=LMAN1 PE=1 SV=2,314.8981,18.2119,203.9922,11.7977,110.1352,6.3696,212.7805,12.306,1234.444,71.393,199.6364,11.5458,6
P49902,Cytosolic purine 5'-nucleotidase OS=Homo sapiens GN=NT5C2 PE=1 SV=1,116.6631,7.6328,66.4735,4.3491,32.0832,2.0991,97.8198,6.4,275.0038,17.9924,80.7339,5.2821,6
Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1,108.8055,2.7456,99.9344,2.5217,36.5475,0.9222,130.8528,3.3019,376.8202,9.5086,93.0012,2.3468,6
P04216,Thy-1 membrane glycoprotein OS=Homo sapiens GN=THY1 PE=1 SV=2,193.58,3.516,111.9541,2.0334,25.1244,0.4563,121.6484,2.2095,550.7853,10.0038,83.4595,1.5159,6
Q93052,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1,141.5194,9.5062,85.0894,5.7156,33.3939,2.2431,88.9469,5.9748,319.716,21.476,62.7709,4.2165,6
P08758,Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,934.524,33.6371,602.7958,21.6969,368.4269,13.2611,766.7167,27.5971,2728.737,98.2178,675.5651,24.3162,6
P08754,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,42.9238,1.7643,16.9468,0.6966,17.4591,0.7176,71.9154,2.9559,188.4545,7.746,20.3668,0.8371,6
P23284,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,315.2558,7.503,130.4025,3.1035,118.4496,2.8191,299.4527,7.1269,982.7335,23.3887,176.1512,4.1923,6
Q07812,Apoptosis regulator BAX OS=Homo sapiens GN=BAX PE=1 SV=1,145.1382,3.0912,95.4806,2.0336,62.4449,1.33,83.5161,1.7788,320.6165,6.8287,75.4666,1.6073,6
P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,542.4944,9.8954,310.0257,5.6551,152.1012,2.7744,438.5013,7.9985,1293.947,23.6024,334.3897,6.0995,6
Q86TI2,Dipeptidyl peptidase 9 OS=Homo sapiens GN=DPP9 PE=1 SV=3,49.0074,4.8548,26.4922,2.6244,11.4591,1.1352,32.0614,3.1761,171.6031,16.9993,22.4644,2.2254,6
Q9H857,5'-nucleotidase domain-containing protein 2 OS=Homo sapiens GN=NT5DC2 PE=1 SV=1,144.5762,8.828,49.344,3.013,57.3352,3.5009,109.8359,6.7067,353.6005,21.5912,42.7913,2.6129,6
Q96AY3,Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10 PE=1 SV=1,322.8588,20.9078,144.1552,9.3353,134.8057,8.7298,198.4348,12.8503,610.0424,39.5053,144.3811,9.3499,6
Q92905,COP9 signalosome complex subunit 5 OS=Homo sapiens GN=COPS5 PE=1 SV=4,176.0496,6.6559,60.8162,2.2993,27.0445,1.0225,114.5956,4.3325,474.3707,17.9345,54.4193,2.0574,6
Q15121,Astrocytic phosphoprotein PEA-15 OS=Homo sapiens GN=PEA15 PE=1 SV=2,131.2419,1.9814,33.2268,0.5016,28.0577,0.4236,46.9814,0.7093,148.8106,2.2466,67.946,1.0258,6
Q86VS8,Protein Hook homolog 3 OS=Homo sapiens GN=HOOK3 PE=1 SV=2,121.5177,10.1498,25.8399,2.1583,31.8515,2.6604,59.3959,4.9611,180.9924,15.1174,262.5827,21.9323,6
P46776,60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2,340.6987,5.6813,184.9557,3.0842,95.592,1.594,292.0595,4.8702,748.9197,12.4886,153.6362,2.562,6
P46777,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3,441.2586,15.2635,303.8275,10.5096,65.9991,2.283,342.4913,11.8471,1170.068,40.4736,321.1285,11.1081,6
P46778,60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2,576.3308,10.7324,409.6008,7.6275,196.5929,3.6609,463.8512,8.6378,1054.904,19.6443,280.7226,5.2276,6
Q96QK1,Vacuolar protein sorting-associated protein 35 OS=Homo sapiens GN=VPS35 PE=1 SV=2,253.9201,23.489,135.2797,12.5141,104.7229,9.6875,191.0751,17.6755,634.155,58.6629,130.5878,12.0801,6
Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,261.9383,72.0101,107.3218,29.5041,71.0577,19.5346,145.611,40.0303,467.0529,128.3987,114.617,31.5097,6
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,114.7786,5.3882,94.6718,4.4443,81.7214,3.8364,81.7944,3.8398,565.699,26.5565,82.4975,3.8728,6
Q92871,Phosphomannomutase 1 OS=Homo sapiens GN=PMM1 PE=1 SV=2,17.999,0.5416,33.9993,1.023,24.3694,0.7332,23.1389,0.6962,73.7688,2.2196,12.3167,0.3706,6
Q969G5,Protein kinase C delta-binding protein OS=Homo sapiens GN=PRKCDBP PE=1 SV=3,296.6219,8.2168,250.3853,6.936,121.9782,3.3789,286.9097,7.9477,949.7864,26.3102,200.8713,5.5644,6
Q15942,Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1,500.2797,31.255,263.2217,16.4448,60.6459,3.7888,422.2192,26.3781,998.1006,62.3563,244.0223,15.2453,6
Q9Y3U8,60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3,286.4938,3.527,149.0856,1.8354,113.6184,1.3987,238.169,2.932,580.9739,7.1522,212.0136,2.61,6
Q15773,Myeloid leukemia factor 2 OS=Homo sapiens GN=MLF2 PE=1 SV=1,34.9644,0.9862,12.9812,0.3661,24.1468,0.681,44.6705,1.2599,95.7203,2.6997,18.5629,0.5236,6
P08574,Cytochrome c1_ heme protein_ mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=3,163.3938,5.8437,42.8332,1.5319,91.3532,3.2672,70.8269,2.5331,371.8674,13.2996,74.3703,2.6598,6
P62753,40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1,124.5093,3.5923,67.4302,1.9455,38.626,1.1144,104.8415,3.0249,696.8328,20.1049,106.2531,3.0656,6
P18031,Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1,129.2342,6.5311,55.3729,2.7984,46.7343,2.3618,87.5775,4.4259,259.7766,13.1284,60.0687,3.0357,6
P22392,Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1,385.5128,6.7126,213.8623,3.7238,12.1385,0.2114,306.0185,5.3284,516.799,8.9986,242.6121,4.2244,6
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2,818.4902,32.6383,644.578,25.7034,476.331,18.9943,738.5694,29.4514,3189.702,127.1935,612.5109,24.4247,6
P28370,Probable global transcription activator SNF2L1 OS=Homo sapiens GN=SMARCA1 PE=1 SV=2,90.2994,11.1329,29.3391,3.6172,26.8577,3.3113,45.3783,5.5947,176.614,21.7746,36.5473,4.5059,6
P15559,NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1,441.6974,13.6594,287.2624,8.8835,276.7154,8.5573,312.2874,9.6574,1551.529,47.9806,290.9719,8.9982,6
Q9BYX2,TBC1 domain family member 2A OS=Homo sapiens GN=TBC1D2 PE=1 SV=3,43.1371,4.5866,27.796,2.9554,38.7939,4.1248,42.1287,4.4794,69.2735,7.3656,13.0866,1.3915,6
Q8WYP5,Protein ELYS OS=Homo sapiens GN=AHCTF1 PE=1 SV=3,159.2669,40.5144,73.5922,18.7204,56.4851,14.3687,140.7888,35.8139,337.588,85.8758,87.0648,22.1476,6
O95816,BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1,30.858,0.7388,43.8501,1.0499,66.9868,1.6039,27.4165,0.6564,75.5094,1.8079,68.2227,1.6335,6
Q9UHB9,Signal recognition particle 68 kDa protein OS=Homo sapiens GN=SRP68 PE=1 SV=2,78.4191,5.5868,68.7328,4.8967,30.434,2.1682,73.8029,5.2579,213.9641,15.2434,67.7688,4.828,6
P41250,Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3,540.7885,45.376,282.8505,23.7332,128.5787,10.7887,330.8242,27.7585,1509.684,126.6732,174.4603,14.6385,6
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4,260.9373,8.8007,190.2305,6.4159,131.0207,4.4189,289.584,9.7668,1187.801,40.0611,156.3057,5.2717,6
P41252,Isoleucine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2,211.3989,30.8241,139.056,20.2757,130.9371,19.0919,192.892,28.1256,527.796,76.9579,136.936,19.9666,6
P53675,Clathrin heavy chain 2 OS=Homo sapiens GN=CLTCL1 PE=1 SV=2,31.1923,5.8997,27.3372,5.1706,203.2221,38.4375,126.1109,23.8526,127.9139,24.1937,58.8808,11.1367,6
Q9BZF9,Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Homo sapiens GN=UACA PE=1 SV=2,162.0922,26.5258,70.8648,11.5968,60.8421,9.9566,154.2097,25.2358,335.5733,54.9153,66.8704,10.9431,6
Q99733,Nucleosome assembly protein 1-like 4 OS=Homo sapiens GN=NAP1L4 PE=1 SV=1,149.011,6.4067,76.7941,3.3017,50.2509,2.1605,121.709,5.2328,253.8925,10.916,77.0213,3.3115,6
P19105,Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2,23.6236,0.469,65.0953,1.2922,196.0184,3.8912,31.041,0.6162,168.542,3.3458,65.3555,1.2974,6
P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,148.9338,6.4382,104.6201,4.5225,65.504,2.8316,128.6109,5.5596,326.4637,14.1125,99.1722,4.287,6
P15121,Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3,367.4837,13.3223,95.1746,3.4503,30.5835,1.1087,196.8657,7.1369,627.3074,22.7415,194.3604,7.0461,6
P46821,Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2,419.0645,113.9153,206.0971,56.0238,204.0511,55.4677,255.6708,69.4996,936.6521,254.6123,219.9967,59.8022,6
Q9NX76,CKLF-like MARVEL transmembrane domain-containing protein 6 OS=Homo sapiens GN=CMTM6 PE=1 SV=1,29.4846,0.6121,17.5317,0.364,12.7426,0.2645,16.9021,0.3509,111.7036,2.3191,19.6687,0.4083,6
O00291,Huntingtin-interacting protein 1 OS=Homo sapiens GN=HIP1 PE=1 SV=5,82.5707,9.6859,45.4925,5.3365,33.3683,3.9143,41.8713,4.9117,195.1102,22.8874,41.8995,4.915,6
O60341,Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=2,140.9507,13.1671,23.4291,2.1887,16.5546,1.5465,117.7022,10.9953,107.1857,10.0129,18.985,1.7735,6
Q16563,Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1,229.1782,6.625,59.5308,1.7209,21.4705,0.6207,191.196,5.527,237.1485,6.8554,39.5542,1.1434,6
Q9Y5P6,Mannose-1-phosphate guanyltransferase beta OS=Homo sapiens GN=GMPPB PE=1 SV=2,39.5953,1.5998,17.9649,0.7259,50.5589,2.0428,31.5544,1.2749,161.4347,6.5227,30.5825,1.2357,6
P61019,Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1,313.2899,7.4302,228.6649,5.4232,177.4221,4.2079,282.6424,6.7033,742.4947,17.6095,79.5699,1.8871,6
Q13510,Acid ceramidase OS=Homo sapiens GN=ASAH1 PE=1 SV=5,48.021,2.1665,25.9849,1.1723,15.0544,0.6792,37.5279,1.6931,490.7167,22.1391,30.2073,1.3628,6
P08962,CD63 antigen OS=Homo sapiens GN=CD63 PE=1 SV=2,154.1366,4.0834,82.5367,2.1866,64.2104,1.7011,105.8082,2.8031,434.7389,11.5171,129.9272,3.442,6
O14983,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 OS=Homo sapiens GN=ATP2A1 PE=1 SV=1,61.2134,6.8327,27.3253,3.0501,14.0526,1.5686,45.0489,5.0284,172.3701,19.2402,60.5929,6.7635,6
O14980,Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,408.1773,50.829,144.5918,18.0055,42.2388,5.2599,162.2717,20.2072,828.4676,103.1663,133.4075,16.6128,6
P36542,ATP synthase subunit gamma_ mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1,176.0567,5.8192,148.2524,4.9002,59.8132,1.977,147.6294,4.8796,664.4374,21.9617,153.1146,5.0609,6
Q9Y5K3,Choline-phosphate cytidylyltransferase B OS=Homo sapiens GN=PCYT1B PE=1 SV=1,35.4543,1.4971,18.8215,0.7947,9.3125,0.3932,31.1851,1.3168,100.9602,4.2631,17.5884,0.7427,6
Q01844,RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1,130.8011,8.9943,91.0058,6.2579,72.7045,4.9994,201.4369,13.8515,466.5273,32.0801,84.0078,5.7767,6
Q16706,Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2,173.5845,22.8828,91.1849,12.0205,72.8804,9.6075,62.8622,8.2868,450.6454,59.4064,57.5578,7.5876,6
P12268,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens GN=IMPDH2 PE=1 SV=2,326.3483,18.3608,165.21,9.2949,55.3508,3.1141,134.7451,7.5809,748.2067,42.0951,132.3833,7.4481,6
Q92783,Signal transducing adapter molecule 1 OS=Homo sapiens GN=STAM PE=1 SV=3,171.1985,10.1998,47.4766,2.8286,103.5981,6.1723,179.5907,10.6998,117.4939,7.0002,23.9723,1.4282,6
Q9NR31,GTP-binding protein SAR1a OS=Homo sapiens GN=SAR1A PE=1 SV=1,173.1688,3.893,92.5253,2.0801,40.8011,0.9172,93.8262,2.1093,362.4311,8.1478,90.5289,2.0352,6
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5,223.3997,19.6274,91.6868,8.0554,16.2742,1.4298,164.7689,14.4762,444.139,39.0211,126.7959,11.14,6
O95870,Abhydrolase domain-containing protein 16A OS=Homo sapiens GN=ABHD16A PE=1 SV=3,16.6651,1.0644,9.5898,0.6125,10.417,0.6653,12.3766,0.7905,80.4377,5.1376,7.2906,0.4657,6
P49736,DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4,225.1653,23.0976,49.3146,5.0587,50.2851,5.1583,69.4068,7.1198,91.9446,9.4317,67.77,6.9519,6
P13797,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,381.0352,27.1771,171.8897,12.2599,163.635,11.6712,287.5238,20.5075,947.9218,67.61,237.2574,16.9222,6
Q9BYT8,Neurolysin_ mitochondrial OS=Homo sapiens GN=NLN PE=1 SV=1,85.3452,6.9465,37.2099,3.0286,46.8757,3.8154,78.9688,6.4275,111.8404,9.1031,26.4679,2.1543,6
Q96C86,m7GpppX diphosphatase OS=Homo sapiens GN=DCPS PE=1 SV=2,82.4326,3.1967,45.2106,1.7533,44.1343,1.7115,53.0805,2.0585,170.1294,6.5976,42.5193,1.6489,6
Q15436,Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=1 SV=2,232.2514,20.2229,180.2565,15.6956,231.2169,20.1328,272.759,23.7501,694.3234,60.4571,208.5254,18.157,6
Q15437,Protein transport protein Sec23B OS=Homo sapiens GN=SEC23B PE=1 SV=2,69.706,6.0957,14.4221,1.2612,37.2469,3.2572,35.0457,3.0647,86.1834,7.5366,31.4632,2.7514,6
Q15435,Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens GN=PPP1R7 PE=1 SV=1,94.9067,3.9556,28.4067,1.1839,15.896,0.6625,75.1817,3.1334,168.7049,7.0313,59.0973,2.4631,6
P09960,Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2,33.5525,2.3457,54.1238,3.7839,23.0236,1.6096,69.5954,4.8656,272.5543,19.055,45.2971,3.1668,6
Q9UNN8,Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1,97.7844,2.6415,42.6997,1.1535,19.5418,0.5279,68.4844,1.85,190.0068,5.1328,56.6406,1.5301,6
P50570,Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2,102.8208,10.1182,60.3527,5.9391,11.8805,1.1691,60.2742,5.9314,350.4747,34.489,37.8393,3.7236,6
Q06330,Recombining binding protein suppressor of hairless OS=Homo sapiens GN=RBPJ PE=1 SV=3,48.7759,2.7499,18.4362,1.0394,115.3688,6.5043,33.9586,1.9145,130.6497,7.3658,10.5075,0.5924,6
Q9NVI7,ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A PE=1 SV=2,179.4736,12.8601,61.5809,4.4125,120.1664,8.6105,75.8452,5.4346,427.9532,30.6647,74.0765,5.3079,6
Q7Z434,Mitochondrial antiviral-signaling protein OS=Homo sapiens GN=MAVS PE=1 SV=2,100.3018,5.7271,39.0151,2.2277,48.727,2.7822,65.6696,3.7496,281.2475,16.0588,55.8672,3.1899,6
P30085,UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3,190.3456,4.2734,50.4213,1.132,16.8463,0.3782,150.7691,3.3848,441.1946,9.905,91.4762,2.0537,6
P30086,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3,263.5041,5.5786,170.3423,3.6063,20.8894,0.4422,170.5163,3.61,801.34,16.9651,176.5733,3.7382,6
P57740,Nuclear pore complex protein Nup107 OS=Homo sapiens GN=NUP107 PE=1 SV=1,63.0956,6.7585,32.4173,3.4724,22.6492,2.4261,15.8621,1.6991,150.2244,16.0914,20.957,2.2448,6
P06744,Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4,647.2634,41.0205,454.3007,28.7915,99.2463,6.2898,630.6891,39.9701,1668.759,105.7582,409.8521,25.9745,6
Q6UVK1,Chondroitin sulfate proteoglycan 4 OS=Homo sapiens GN=CSPG4 PE=1 SV=2,164.2062,41.2521,61.3094,15.4022,52.6473,13.2261,42.0581,10.5659,365.321,91.7764,63.9183,16.0576,6
P09382,Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2,999.7465,15.0541,894.0999,13.4633,293.9584,4.4264,872.6224,13.1398,2813.246,42.3615,530.8239,7.9931,6
P06748,Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2,487.7722,15.9727,619.9607,20.3013,174.5929,5.7172,821.053,26.8863,2244.056,73.4842,681.178,22.306,6
P05109,Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1,11.8895,0.1295,108.5851,1.1827,23.5154,0.2561,60.2997,0.6568,141.2361,1.5383,15.9746,0.174,6
Q9NQW7,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3,69.2508,4.8893,51.7339,3.6525,22.957,1.6208,61.2945,4.3275,193.6918,13.6751,32.541,2.2975,6
Q9UN86,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,392.3739,21.2581,208.4519,11.2936,18.5965,1.0075,268.3218,14.5372,1008.718,54.6506,177.3174,9.6067,6
Q9UBF8,Phosphatidylinositol 4-kinase beta OS=Homo sapiens GN=PI4KB PE=1 SV=1,88.8993,8.1894,34.5247,3.1804,11.6827,1.0762,54.4974,5.0203,103.5452,9.5386,70.8223,6.5242,6
Q9UBF2,Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1,86.3311,8.5263,31.4174,3.1029,24.4983,2.4195,47.7004,4.711,108.0727,10.6736,27.1415,2.6806,6
O00299,Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4,336.3742,9.1712,269.7847,7.3557,126.93,3.4607,291.9493,7.96,1152.122,31.4125,212.4725,5.793,6
Q07955,Serine/arginine-rich splicing factor 1 OS=Homo sapiens GN=SRSF1 PE=1 SV=2,86.3907,2.4067,14.5012,0.404,41.114,1.1454,45.5026,1.2676,77.5302,2.1599,34.5356,0.9621,6
